db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_1,5,"1,2,3,4,5",ours,4,ok,,,0.580,55.881,666.355,2.551,187.993,26776010,75072,4804576,1584188,385402,30406,0,177204,2,1,eval_ms=0.580 artifact_load_ms=55.881 artifact_parse_ms=31.440 stamp_ms=187.897 bin_ms=6.532 local_sat_ms=112.158 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=666.355 ctid_map_ms=2.551 filter_ms=187.993 child_exec_ms=99.936 ctid_extract_ms=20.734 ctid_to_rid_ms=8.861 allow_check_ms=8.298 projection_ms=2.003 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776010 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=385402 rows_passed=30406 ctid_misses=0 rss_kb_before_eval=28500 rss_kb_after_eval=28500 rss_kb_after_load=65244 rss_kb_after_engine=88516 rss_kb_after_ctid=88516 rss_kb_end=177204 peak_rss_kb_end=177204
tpch0_1,5,"1,2,3,4,5",ours,15,ok,,,0.562,55.496,663.790,2.526,74.426,26776010,75072,4804576,1584188,24006,1000,0,157808,2,1,eval_ms=0.562 artifact_load_ms=55.496 artifact_parse_ms=31.434 stamp_ms=187.600 bin_ms=6.209 local_sat_ms=111.963 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=663.790 ctid_map_ms=2.526 filter_ms=74.426 child_exec_ms=67.302 ctid_extract_ms=2.869 ctid_to_rid_ms=0.628 allow_check_ms=0.513 projection_ms=0.150 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776010 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=24006 rows_passed=1000 ctid_misses=0 rss_kb_before_eval=31180 rss_kb_after_eval=31180 rss_kb_after_load=67888 rss_kb_after_engine=90604 rss_kb_after_ctid=90604 rss_kb_end=157808 peak_rss_kb_end=157808
tpch0_1,5,"1,2,3,4,5",ours,18,ok,,,0.569,53.123,670.948,2.563,225.527,26776010,75072,4804576,1584188,615583,55245,0,214124,2,1,eval_ms=0.569 artifact_load_ms=53.123 artifact_parse_ms=31.560 stamp_ms=194.146 bin_ms=6.202 local_sat_ms=111.812 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=670.948 ctid_map_ms=2.563 filter_ms=225.527 child_exec_ms=79.904 ctid_extract_ms=37.473 ctid_to_rid_ms=13.848 allow_check_ms=13.165 projection_ms=4.333 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=26776010 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=615583 rows_passed=55245 ctid_misses=0 rss_kb_before_eval=73708 rss_kb_after_eval=73708 rss_kb_after_load=111812 rss_kb_after_engine=134528 rss_kb_after_ctid=134528 rss_kb_end=213504 peak_rss_kb_end=214124
