db,policy_set,queries,correctness_ok,correctness_total,median_hot_ours_ms,median_hot_rls_index_ms,median_hot_ratio_ours_over_rls_index,median_rss_ours_kb,median_rss_rls_index_kb,median_rss_ratio_ours_over_rls_index
tpch0_1,S_A,"1,3,6,10,11",2,2,151.46401291713119,60.63675507903099,2.497891134176299,127102.0,131296,0.9680569095783573
tpch0_1,S_B,"1,3,6,10,11",2,2,151.41253708861768,60.52314629778266,2.5017294432058446,72274.0,128564,0.5621635916741856
tpch0_1,S_C,"1,3,6,10,11",1,1,30.81771405413747,331.63084415718913,0.0929277677185245,65968,123444,0.5343961634425326
tpch0_1,S_D,"1,3,6,10,11",1,1,30.94694297760725,361.7146881297231,0.08555622426509989,29612,122136,0.24245103818693914
tpch0_1,S_E,"1,3,6,10,11",5,5,151.23997116461396,150.82731703296304,1.0027359376256806,164544,135676,1.2127716029364073
tpch0_1,S_F,"1,3,6,10,11",3,3,422.34531976282597,30.650302302092314,13.77948300803529,282312,65276,4.324897358906796
tpch0_1,S_G,"1,3,6,10,11",1,1,1296.086363028735,30.69383930414915,42.22627056151727,120304,28340,4.245024700070571
