query_id,ours_count,rls_count,status,policy_profile_lines,n_filters,n_policy_targets
1,0,0,ok,1,1,3
2,0,0,ok,1,1,1
3,0,0,ok,1,3,3
4,0,0,ok,1,2,3
5,0,0,ok,1,3,3
6,0,0,ok,1,1,3
7,0,0,ok,1,3,3
8,0,0,ok,1,3,3
9,0,0,ok,1,3,4
10,0,0,ok,1,3,3
11,0,0,ok,1,1,1
12,0,0,ok,1,2,3
13,0,0,ok,1,2,2
14,1,1,ok,1,1,3
15,0,0,ok,1,1,3
16,55,55,ok,1,1,1
17,1,1,ok,1,1,3
18,0,0,ok,1,3,3
19,1,1,ok,1,1,3
