db,policy_set,baseline,query_id,status,cold_ms,hot_ms,hot_peak_rss_kb,count,count_err,error_type,error_msg,policy_profile_lines,policy_ms,executor_ms,scan_mode,setup_ms,pre_run_memory_building_ms,disk_bytes
tpch0_1,S_A,rls_index,1,1,151.28329303115606,121.09011691063643,128732,2,,,,0,,,,4370.605628937483,4325.749861076474,75563008
tpch0_1,S_A,rls_index,3,1,90.80271515995264,60.67816400900483,145928,311,,,,0,,,,4370.605628937483,4325.749861076474,75563008
tpch0_1,S_A,rls_index,6,1,60.720501001924276,60.658571776002645,132088,1,,,,0,,,,4370.605628937483,4325.749861076474,75563008
tpch0_1,S_A,rls_index,10,1,90.76416259631515,61.2755473703146,149384,1307,,,,0,,,,4370.605628937483,4325.749861076474,75563008
tpch0_1,S_A,rls_index,11,1,60.70299306884408,30.556822195649147,42720,2753,,,,0,,,,4370.605628937483,4325.749861076474,75563008
tpch0_1,S_A,ours,1,1,332.2926270775497,271.66285179555416,189828,2,,,,1,,,,3115.4485791921616,3052.648722194135,29131488
tpch0_1,S_A,ours,3,1,302.08514584228396,272.00165996327996,208048,311,,,,1,,,,3115.4485791921616,3052.648722194135,29131488
tpch0_1,S_A,ours,6,1,272.06983137875795,211.39757707715034,183452,1,,,,1,,,,3115.4485791921616,3052.648722194135,29131488
tpch0_1,S_A,ours,10,1,302.10476694628596,272.1798839047551,207912,1307,,,,1,,,,3115.4485791921616,3052.648722194135,29131488
tpch0_1,S_A,ours,11,1,61.21286889538169,30.895288102328777,44036,2753,,,,0,,,,3115.4485791921616,3052.648722194135,29131488
tpch0_1,S_B,rls_index,1,1,121.05310196056962,120.89186115190387,135976,2,,,,0,,,,4465.186217799783,4391.6773442178965,77275136
tpch0_1,S_B,rls_index,3,1,30.66647006198764,30.509069561958313,28712,0,,,,0,,,,4465.186217799783,4391.6773442178965,77275136
tpch0_1,S_B,rls_index,6,1,60.68466091528535,60.60130661353469,135680,1,,,,0,,,,4465.186217799783,4391.6773442178965,77275136
tpch0_1,S_B,rls_index,10,1,90.87139274924994,60.63696229830384,147804,0,,,,0,,,,4465.186217799783,4391.6773442178965,77275136
tpch0_1,S_B,rls_index,11,1,60.76487898826599,30.55560775101185,37504,2753,,,,0,,,,4465.186217799783,4391.6773442178965,77275136
tpch0_1,S_B,ours,1,1,332.423044834286,271.8957760371268,192248,2,,,,1,,,,3183.049086946994,3120.7131259143353,30601996
tpch0_1,S_B,ours,3,1,302.4143469519913,271.84315817430615,107764,0,,,,1,,,,3183.049086946994,3120.7131259143353,30601996
tpch0_1,S_B,ours,6,1,272.1541794016957,241.56484613195062,187956,1,,,,1,,,,3183.049086946994,3120.7131259143353,30601996
tpch0_1,S_B,ours,10,1,332.321313675493,271.868955809623,106364,0,,,,1,,,,3183.049086946994,3120.7131259143353,30601996
tpch0_1,S_B,ours,11,1,31.279182992875576,30.91956302523613,59788,2753,,,,0,,,,3183.049086946994,3120.7131259143353,30601996
tpch0_1,S_C,rls_index,1,1,1386.0927326604724,1355.6788209825754,149840,4,,,,0,,,,1986.5993070416152,1916.8540490791202,28426240
tpch0_1,S_C,rls_index,3,1,151.11185610294342,150.94168297946453,122288,39,,,,0,,,,1986.5993070416152,1916.8540490791202,28426240
tpch0_1,S_C,rls_index,6,1,693.1417779996991,662.8288310021162,147592,1,,,,0,,,,1986.5993070416152,1916.8540490791202,28426240
tpch0_1,S_C,rls_index,10,1,361.875347327441,331.6606557928026,135876,461,,,,0,,,,1986.5993070416152,1916.8540490791202,28426240
tpch0_1,S_C,rls_index,11,1,60.95364782959223,30.598805285990238,37452,2753,,,,0,,,,1986.5993070416152,1916.8540490791202,28426240
tpch0_1,S_C,ours,1,1,422.70389292389154,362.0289610698819,193908,4,,,,1,,,,1903.2659786753356,1841.1782658658922,24229450
tpch0_1,S_C,ours,3,1,302.109737880528,241.89788615331054,208964,39,,,,1,,,,1903.2659786753356,1841.1782658658922,24229450
tpch0_1,S_C,ours,6,1,271.96870232000947,241.6763068176806,201160,1,,,,1,,,,1903.2659786753356,1841.1782658658922,24229450
tpch0_1,S_C,ours,10,1,271.9687637872994,241.62711296230555,213336,461,,,,1,,,,1903.2659786753356,1841.1782658658922,24229450
tpch0_1,S_C,ours,11,1,61.17395730689168,30.752372927963734,37832,2753,,,,0,,,,1903.2659786753356,1841.1782658658922,24229450
tpch0_1,S_D,rls_index,1,1,3163.0143439397216,3102.5184001773596,146080,4,,,,0,,,,4067.8627979941666,3993.45873715356,73252864
tpch0_1,S_D,rls_index,3,1,151.0960329324007,150.97933495417237,123124,0,,,,0,,,,4067.8627979941666,3993.45873715356,73252864
tpch0_1,S_D,rls_index,6,1,1807.505093049258,1777.2425319999456,143688,1,,,,0,,,,4067.8627979941666,3993.45873715356,73252864
tpch0_1,S_D,rls_index,10,1,391.9687420129776,361.67490715160966,135948,49,,,,0,,,,4067.8627979941666,3993.45873715356,73252864
tpch0_1,S_D,rls_index,11,1,30.699774157255888,30.52515396848321,20052,0,,,,0,,,,4067.8627979941666,3993.45873715356,73252864
tpch0_1,S_D,ours,1,1,29005.295998882502,29005.541030783206,294956,4,,,,1,,,,3907.19202067703,3844.1858468577266,43554897
tpch0_1,S_D,ours,3,1,29126.031544059515,29425.848081707954,328972,0,,,,1,,,,3907.19202067703,3844.1858468577266,43554897
tpch0_1,S_D,ours,6,1,28464.352685958147,28251.345071941614,296924,1,,,,1,,,,3907.19202067703,3844.1858468577266,43554897
tpch0_1,S_D,ours,10,1,28673.332450911403,28371.264474932104,326432,46,,,,1,,,,3907.19202067703,3844.1858468577266,43554897
tpch0_1,S_D,ours,11,1,31.588981859385967,31.015365850180387,27492,0,,,,1,,,,3907.19202067703,3844.1858468577266,43554897
tpch0_1,S_E,rls_index,1,1,482.4333442375064,482.1221847087145,104820,4,,,,0,,,,3475.9167889133096,3407.2324661538005,60514304
tpch0_1,S_E,rls_index,3,1,181.3735286705196,150.84661077708006,147640,1061,,,,0,,,,3475.9167889133096,3407.2324661538005,60514304
tpch0_1,S_E,rls_index,6,1,151.01395081728697,150.79165995121002,137652,1,,,,0,,,,3475.9167889133096,3407.2324661538005,60514304
tpch0_1,S_E,rls_index,10,1,120.91484386473894,94.07514613121748,151608,2874,,,,0,,,,3475.9167889133096,3407.2324661538005,60514304
tpch0_1,S_E,rls_index,11,1,30.64489411190152,30.39443027228117,20608,0,,,,0,,,,3475.9167889133096,3407.2324661538005,60514304
tpch0_1,S_E,ours,1,1,693.5694990679622,663.0754596553743,170648,4,,,,1,,,,1766.9017068110406,1703.482876997441,20817794
tpch0_1,S_E,ours,3,1,271.81010181084275,241.725439671427,188388,1061,,,,1,,,,1766.9017068110406,1703.482876997441,20817794
