db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
tpch0_1,rls_index,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,rls_index,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,rls_index,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,rls_index,13,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,69,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,rls_index,22,11-20,"11,12,13,14,15,16,17,18,19,20",10,9,69,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,13,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,69,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,22,11-20,"11,12,13,14,15,16,17,18,19,20",10,9,69,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
