db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,baseline_rows,rls_index_rows,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
postgres,no_policy,1,1-5,"1,2,3,4,5",5,4,30,31.150,31.311,TRUE,0,0,0,1,,,0.000
postgres,no_policy,2,1-5,"1,2,3,4,5",5,15,0,30.982,30.992,TRUE,0,0,0,1,,,0.000
postgres,no_policy,3,1-5,"1,2,3,4,5",5,8,0,30.814,30.872,TRUE,0,0,0,1,,,0.000
postgres,no_policy,4,1-5,"1,2,3,4,5",5,9,30,30.559,30.777,TRUE,0,0,0,1,,,0.000
postgres,no_policy,5,1-5,"1,2,3,4,5",5,12,0,31.151,31.396,TRUE,0,0,0,1,,,0.000
postgres,no_policy,6,1-5,"1,2,3,4,5",5,6,30,30.990,31.419,TRUE,1,1,0,1,,,0.000
postgres,no_policy,7,1-5,"1,2,3,4,5",5,15,0,31.177,31.394,TRUE,0,0,0,1,,,0.000
postgres,no_policy,8,1-5,"1,2,3,4,5",5,15,0,31.196,31.503,TRUE,0,0,0,1,,,0.000
postgres,no_policy,9,1-5,"1,2,3,4,5",5,11,0,31.351,31.411,TRUE,0,0,0,1,,,0.000
postgres,no_policy,10,1-5,"1,2,3,4,5",5,9,0,30.409,30.641,TRUE,0,0,0,1,,,0.000
postgres,no_policy,11,1-5,"1,2,3,4,5",5,9,0,31.253,31.409,TRUE,0,0,0,1,,,0.000
postgres,no_policy,12,1-5,"1,2,3,4,5",5,11,0,31.205,31.603,TRUE,0,0,0,1,,,0.000
postgres,no_policy,13,1-5,"1,2,3,4,5",5,6,0,31.080,31.350,TRUE,0,0,0,1,,,0.000
postgres,no_policy,14,1-5,"1,2,3,4,5",5,4,30,31.353,31.394,TRUE,1,1,0,1,,,0.000
postgres,no_policy,15,1-5,"1,2,3,4,5",5,8,30,31.074,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""revenue0"" does not exist LINE 1: ... s_address, s_phone, total_revenue from supplier, revenue0 w...                                                              ^",0.000
postgres,no_policy,16,1-5,"1,2,3,4,5",5,10,0,31.100,31.313,TRUE,0,0,0,1,,,0.000
postgres,no_policy,17,1-5,"1,2,3,4,5",5,5,30,30.942,31.465,TRUE,1,1,0,1,,,0.000
postgres,no_policy,18,1-5,"1,2,3,4,5",5,9,30,31.230,31.252,TRUE,0,0,0,1,,,0.000
postgres,no_policy,19,1-5,"1,2,3,4,5",5,28,30,31.150,31.494,TRUE,1,1,0,1,,,0.000
postgres,no_policy,20,1-5,"1,2,3,4,5",5,14,30,31.186,31.428,TRUE,0,0,0,1,,,0.000
postgres,no_policy,21,1-5,"1,2,3,4,5",5,17,30,31.140,31.353,TRUE,0,0,0,1,,,0.000
postgres,no_policy,22,1-5,"1,2,3,4,5",5,9,0,31.247,31.431,TRUE,0,0,0,1,,,0.000
postgres,view_based,1,1-5,"1,2,3,4,5",5,4,30,31.202,31.429,TRUE,0,0,896,1,,,6.166
postgres,view_based,2,1-5,"1,2,3,4,5",5,15,0,31.096,31.472,TRUE,0,0,-224,1,,,6.166
postgres,view_based,3,1-5,"1,2,3,4,5",5,8,0,31.088,31.498,TRUE,0,0,224,1,,,6.166
postgres,view_based,4,1-5,"1,2,3,4,5",5,9,30,31.085,31.498,TRUE,0,0,448,1,,,6.166
postgres,view_based,5,1-5,"1,2,3,4,5",5,12,0,31.241,31.417,TRUE,0,0,896,1,,,6.166
postgres,view_based,6,1-5,"1,2,3,4,5",5,6,30,31.074,31.441,TRUE,1,1,672,1,,,6.166
postgres,view_based,7,1-5,"1,2,3,4,5",5,15,0,31.101,31.510,TRUE,0,0,403,1,,,6.166
postgres,view_based,8,1-5,"1,2,3,4,5",5,15,0,30.899,31.438,TRUE,0,0,951,1,,,6.166
postgres,view_based,9,1-5,"1,2,3,4,5",5,11,0,31.197,31.515,TRUE,0,0,627,1,,,6.166
postgres,view_based,10,1-5,"1,2,3,4,5",5,9,0,31.126,31.441,TRUE,0,0,896,1,,,6.166
postgres,view_based,11,1-5,"1,2,3,4,5",5,9,0,30.966,31.204,TRUE,0,0,-224,1,,,6.166
postgres,view_based,12,1-5,"1,2,3,4,5",5,11,0,31.369,31.487,TRUE,0,0,224,1,,,6.166
postgres,view_based,13,1-5,"1,2,3,4,5",5,6,0,31.105,31.391,TRUE,0,0,-224,1,,,6.166
postgres,view_based,14,1-5,"1,2,3,4,5",5,4,30,30.941,31.286,TRUE,1,1,448,1,,,6.166
postgres,view_based,15,1-5,"1,2,3,4,5",5,8,30,31.047,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""revenue0"" does not exist LINE 1: ... s_address, s_phone, total_revenue from supplier, revenue0 w...                                                              ^",6.166
postgres,view_based,16,1-5,"1,2,3,4,5",5,10,0,31.271,31.540,TRUE,0,0,-672,1,,,6.166
postgres,view_based,17,1-5,"1,2,3,4,5",5,5,30,31.135,31.485,TRUE,1,1,1120,1,,,6.166
postgres,view_based,18,1-5,"1,2,3,4,5",5,9,30,31.213,31.546,TRUE,0,0,668,1,,,6.166
postgres,view_based,19,1-5,"1,2,3,4,5",5,28,30,31.055,31.419,TRUE,1,1,896,1,,,6.166
postgres,view_based,20,1-5,"1,2,3,4,5",5,14,30,30.961,31.492,TRUE,0,0,896,1,,,6.166
postgres,view_based,21,1-5,"1,2,3,4,5",5,17,30,30.899,31.029,TRUE,0,0,763,1,,,6.166
postgres,view_based,22,1-5,"1,2,3,4,5",5,9,0,31.109,31.536,TRUE,0,0,45,1,,,6.166
postgres,rls,1,1-5,"1,2,3,4,5",5,4,30,30.666,31.410,TRUE,0,0,1568,1,,,0.000
postgres,rls,2,1-5,"1,2,3,4,5",5,15,0,31.331,31.566,TRUE,0,0,-672,1,,,0.000
postgres,rls,3,1-5,"1,2,3,4,5",5,8,0,31.285,31.476,TRUE,0,0,224,1,,,0.000
postgres,rls,4,1-5,"1,2,3,4,5",5,9,30,31.223,31.337,TRUE,0,0,448,1,,,0.000
postgres,rls,5,1-5,"1,2,3,4,5",5,12,0,31.091,31.281,TRUE,0,0,672,1,,,0.000
postgres,rls,6,1-5,"1,2,3,4,5",5,6,30,31.086,31.346,TRUE,1,1,672,1,,,0.000
postgres,rls,7,1-5,"1,2,3,4,5",5,15,0,31.201,31.673,TRUE,0,0,851,1,,,0.000
postgres,rls,8,1-5,"1,2,3,4,5",5,15,0,31.303,31.458,TRUE,0,0,448,1,,,0.000
postgres,rls,9,1-5,"1,2,3,4,5",5,11,0,31.003,31.289,TRUE,0,0,627,1,,,0.000
postgres,rls,10,1-5,"1,2,3,4,5",5,9,0,31.012,31.439,TRUE,0,0,1120,1,,,0.000
postgres,rls,11,1-5,"1,2,3,4,5",5,9,0,31.233,31.427,TRUE,0,0,0,1,,,0.000
postgres,rls,12,1-5,"1,2,3,4,5",5,11,0,31.120,31.183,TRUE,0,0,896,1,,,0.000
postgres,rls,13,1-5,"1,2,3,4,5",5,6,0,31.180,31.308,TRUE,0,0,224,1,,,0.000
postgres,rls,14,1-5,"1,2,3,4,5",5,4,30,31.184,31.344,TRUE,1,1,672,1,,,0.000
