run_id,ts,db,K,policy_ids,ours_artifact_build_ms_total,ours_artifact_bytes_db,ours_artifact_bytes_disk,rls_index_build_ms_total,rls_index_bytes
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:19:17+05:30,tpch0_1,10,"5,6,7,8,9,10,11,12,13,14",2239.361,9991725,10436608,3430.054,63250432
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",19421.641,102079543,105988096,40606.085,629137408
