db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,baseline_rows,rls_index_rows,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
postgres,rls_index,1,1-5,"1,2,3,4,5",5,4,30,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist",0.000
postgres,rls_index,3,1-5,"1,2,3,4,5",5,8,0,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist",0.000
postgres,rls_index,6,1-5,"1,2,3,4,5",5,6,30,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist",0.000
postgres,rls_index,10,1-5,"1,2,3,4,5",5,9,0,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist",0.000
postgres,rls_index,11,1-5,"1,2,3,4,5",5,9,0,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist",0.000
postgres,sieve_index,1,1-5,"1,2,3,4,5",5,4,30,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist LINE 1: ...em WITH (security_barrier = true) AS SELECT * FROM lineitem;                                                               ^",0.000
postgres,sieve_index,3,1-5,"1,2,3,4,5",5,8,0,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist LINE 1: ...em WITH (security_barrier = true) AS SELECT * FROM lineitem;                                                               ^",0.000
postgres,sieve_index,6,1-5,"1,2,3,4,5",5,6,30,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist LINE 1: ...em WITH (security_barrier = true) AS SELECT * FROM lineitem;                                                               ^",0.000
postgres,sieve_index,10,1-5,"1,2,3,4,5",5,9,0,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist LINE 1: ...em WITH (security_barrier = true) AS SELECT * FROM lineitem;                                                               ^",0.000
postgres,sieve_index,11,1-5,"1,2,3,4,5",5,9,0,,,UNKNOWN,,,,0,setup_error,"ERROR:  relation ""lineitem"" does not exist LINE 1: ...em WITH (security_barrier = true) AS SELECT * FROM lineitem;                                                               ^",0.000
postgres,ours,1,1-5,"1,2,3,4,5",5,4,30,,,UNKNOWN,,,,0,setup_error,ERROR:  unable to resolve type OID for lineitem.l_returnflag,0.000
postgres,ours,3,1-5,"1,2,3,4,5",5,8,0,,,UNKNOWN,,,,0,setup_error,ERROR:  unable to resolve type OID for lineitem.l_returnflag,0.000
postgres,ours,6,1-5,"1,2,3,4,5",5,6,30,,,UNKNOWN,,,,0,setup_error,ERROR:  unable to resolve type OID for lineitem.l_returnflag,0.000
