run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,ours_count,rls_count,correctness
dashboard_sanity2_20260213_235659,2026-02-13T23:57:02+05:30,tpch0_1,1,1,ours,1,0,1,0.399,748.185,748.584,131.180,ok,,,3,3,3,1
dashboard_sanity2_20260213_235659,2026-02-13T23:57:02+05:30,tpch0_1,1,1,rls_with_index,1,0,1,0.464,382.432,382.896,105.066,ok,,,3,3,3,1
