db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
tpch1,sieve_index,13,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,69,632.507,602.165,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,46502.218
tpch1,sieve_index,22,11-20,"11,12,13,14,15,16,17,18,19,20",10,9,69,30.755,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",46502.218
tpch1,rls_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,8,15542.905,15422.111,TRUE,,1,,,53562.177
tpch1,rls_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,4,151.312,120.995,TRUE,,1,,,53562.177
tpch1,rls_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,8,29611.060,29550.834,TRUE,,1,,,53562.177
tpch1,rls_index,13,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,6,211.570,211.259,TRUE,,1,,,53562.177
tpch1,rls_index,22,21-30,"21,22,23,24,25,26,27,28,29,30",10,9,6,120.960,120.700,TRUE,,1,,,53562.177
tpch1,sieve,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,8,30.717,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",0.000
tpch1,sieve,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,4,121.022,90.678,TRUE,,1,,,0.000
tpch1,sieve,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,8,30.716,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",0.000
tpch1,sieve,13,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,6,693.310,693.117,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,0.000
tpch1,sieve,22,21-30,"21,22,23,24,25,26,27,28,29,30",10,9,6,30.719,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",0.000
tpch1,sieve_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,8,30.721,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",53467.490
tpch1,sieve_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,4,60.812,60.635,TRUE,,1,,,53467.490
tpch1,sieve_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,8,30.746,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",53467.490
tpch1,sieve_index,13,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,6,663.568,602.868,FALSE,,1,mismatch,rows/hash mismatch vs rls_index,53467.490
tpch1,sieve_index,22,21-30,"21,22,23,24,25,26,27,28,29,30",10,9,6,30.750,,UNKNOWN,,0,db_error,"ERROR:  missing FROM-clause entry for table ""orders"" LINE 1: ...STS (SELECT 1 FROM customer c WHERE c.c_custkey = orders.o_c...                                                              ^",53467.490
