ts,git_commit,db,K,rep,task,wall_s,backend_peak_rss_kb,bytes,rows,tables
2026-02-12T07:48:37+05:30,unknown,tpch1,20,2,rls_index_build,39.420408,133324,1094574080,0,0
2026-02-12T07:52:05+05:30,unknown,tpch1,20,3,artifact_build,169.296399,2982908,207740928,89,1
2026-02-12T07:52:05+05:30,unknown,tpch1,20,3,rls_index_build,39.385442,156952,1094574080,0,0
2026-02-12T07:55:35+05:30,unknown,tpch10,1,1,artifact_build,0.126424,28264,32768,11,1
2026-02-12T07:55:35+05:30,unknown,tpch10,1,1,rls_index_build,0.078012,27672,16384,0,0
2026-02-12T07:55:36+05:30,unknown,tpch10,1,2,artifact_build,0.079414,28632,32768,11,1
2026-02-12T07:55:36+05:30,unknown,tpch10,1,2,rls_index_build,0.050750,0,16384,0,0
2026-02-12T07:55:36+05:30,unknown,tpch10,1,3,artifact_build,0.079506,28592,32768,11,1
2026-02-12T07:55:36+05:30,unknown,tpch10,1,3,rls_index_build,0.074577,0,16384,0,0
2026-02-12T07:55:36+05:30,unknown,tpch10,15,1,artifact_build,44.294912,1038108,50372608,68,1
2026-02-12T07:55:36+05:30,unknown,tpch10,15,1,rls_index_build,5.675913,94048,196952064,0,0
2026-02-12T07:56:26+05:30,unknown,tpch10,15,2,artifact_build,38.835687,1113308,50372608,68,1
2026-02-12T07:56:26+05:30,unknown,tpch10,15,2,rls_index_build,5.557032,96400,196952064,0,0
2026-02-12T07:57:11+05:30,unknown,tpch10,15,3,artifact_build,38.843161,1113616,50372608,68,1
2026-02-12T07:57:11+05:30,unknown,tpch10,15,3,rls_index_build,5.647518,100136,196952064,0,0
2026-02-12T07:57:55+05:30,unknown,tpch10,20,1,artifact_build,140.115169,2883480,185966592,89,1
2026-02-12T07:57:55+05:30,unknown,tpch10,20,1,rls_index_build,16.799600,102672,606208000,0,0
2026-02-12T08:00:32+05:30,unknown,tpch10,20,2,artifact_build,136.599560,2858940,185966592,89,1
2026-02-12T08:00:32+05:30,unknown,tpch10,20,2,rls_index_build,16.832520,101564,606208000,0,0
2026-02-12T08:03:06+05:30,unknown,tpch10,20,3,artifact_build,137.185164,2859476,185966592,89,1
2026-02-12T08:03:06+05:30,unknown,tpch10,20,3,rls_index_build,16.797493,101832,606208000,0,0
