baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg
nopolicy,15,7,hot,3,40.724,22.555,6.344,ok,,
nopolicy,15,7,hot,4,40.654,23.211,7.000,ok,,
nopolicy,15,7,hot,5,40.646,22.992,6.781,ok,,
nopolicy,15,8,cold,0,81.240,55.586,39.156,ok,,
nopolicy,15,8,hot,1,81.074,58.211,42.000,ok,,
nopolicy,15,8,hot,2,81.334,57.773,41.562,ok,,
nopolicy,15,8,hot,3,80.937,57.555,41.344,ok,,
nopolicy,15,8,hot,4,81.205,56.898,41.125,ok,,
nopolicy,15,8,hot,5,81.040,56.898,40.688,ok,,
ours,15,1,cold,0,40.564,39.613,16.621,ok,,
ours,15,1,hot,1,40.598,29.598,6.824,ok,,
ours,15,1,hot,2,40.266,39.273,16.500,ok,,
ours,15,1,hot,3,40.568,39.281,16.945,ok,,
ours,15,1,hot,4,40.643,38.273,15.500,ok,,
ours,15,1,hot,5,40.496,39.156,16.602,ok,,
ours,15,2,cold,0,40.565,38.195,15.203,ok,,
ours,15,2,hot,1,40.682,29.336,6.562,ok,,
ours,15,2,hot,2,40.421,38.691,15.699,ok,,
ours,15,2,hot,3,40.442,39.391,16.398,ok,,
ours,15,2,hot,4,40.534,38.746,15.754,ok,,
ours,15,2,hot,5,40.595,29.918,7.363,ok,,
ours,15,3,cold,0,182.210,55.449,32.676,ok,,
ours,15,3,hot,1,182.296,60.832,37.840,ok,,
ours,15,3,hot,2,182.180,56.758,33.766,ok,,
ours,15,3,hot,3,182.111,65.840,43.066,ok,,
ours,15,3,hot,4,182.264,55.984,33.211,ok,,
ours,15,3,hot,5,182.299,64.012,41.238,ok,,
ours,15,4,cold,0,182.362,59.473,36.480,ok,,
ours,15,4,hot,1,182.297,61.664,38.672,ok,,
ours,15,4,hot,2,182.268,59.254,36.262,ok,,
ours,15,4,hot,3,181.983,54.727,31.734,ok,,
ours,15,4,hot,4,182.373,61.656,38.664,ok,,
ours,15,4,hot,5,182.485,59.148,36.375,ok,,
ours,15,5,cold,0,1902.182,120.363,98.027,ok,,
ours,15,5,hot,1,1921.414,119.953,97.617,ok,,
ours,15,5,hot,2,1879.534,120.469,97.914,ok,,
ours,15,5,hot,3,1880.898,120.547,97.555,ok,,
ours,15,5,hot,4,1901.720,120.262,97.488,ok,,
ours,15,5,hot,5,1902.517,120.266,97.930,ok,,
ours,15,6,cold,0,1900.012,120.410,97.418,ok,,
ours,15,6,hot,1,1862.933,120.520,97.527,ok,,
ours,15,6,hot,2,1897.809,120.332,97.340,ok,,
ours,15,6,hot,3,1880.056,120.176,97.840,ok,,
ours,15,6,hot,4,1882.243,120.703,97.930,ok,,
ours,15,6,hot,5,1900.909,120.371,97.598,ok,,
ours,15,7,cold,0,161.803,51.457,28.684,ok,,
ours,15,7,hot,1,162.017,51.355,28.363,ok,,
ours,15,7,hot,2,161.981,51.504,28.574,ok,,
ours,15,7,hot,3,161.692,51.531,28.758,ok,,
ours,15,7,hot,4,161.970,51.785,28.793,ok,,
ours,15,7,hot,5,162.074,51.309,28.316,ok,,
ours,15,8,cold,0,20.323,22.992,0.000,error,db_error,ERROR:  could not devise a query plan for the given query
ours,15,8,hot,1,20.412,22.773,0.000,error,db_error,ERROR:  could not devise a query plan for the given query
ours,15,8,hot,2,20.321,22.555,0.000,error,db_error,ERROR:  could not devise a query plan for the given query
ours,15,8,hot,3,20.434,22.773,0.000,error,db_error,ERROR:  could not devise a query plan for the given query
ours,15,8,hot,4,20.343,23.211,0.000,error,db_error,ERROR:  could not devise a query plan for the given query
ours,15,8,hot,5,20.435,22.773,0.000,error,db_error,ERROR:  could not devise a query plan for the given query
rls_with_index,15,1,cold,0,20.465,16.211,0.000,ok,,
rls_with_index,15,1,hot,1,20.444,16.211,0.000,ok,,
rls_with_index,15,1,hot,2,20.412,16.211,0.000,ok,,
rls_with_index,15,1,hot,3,20.415,16.430,0.000,ok,,
rls_with_index,15,1,hot,4,20.455,16.430,0.000,ok,,
rls_with_index,15,1,hot,5,20.426,16.211,0.000,ok,,
rls_with_index,15,2,cold,0,20.409,16.211,0.000,ok,,
rls_with_index,15,2,hot,1,20.384,16.211,0.000,ok,,
rls_with_index,15,2,hot,2,20.461,16.211,0.000,ok,,
rls_with_index,15,2,hot,3,20.481,16.211,0.000,ok,,
rls_with_index,15,2,hot,4,20.461,16.430,0.000,ok,,
rls_with_index,15,2,hot,5,20.445,16.211,0.000,ok,,
rls_with_index,15,3,cold,0,105609.308,119.957,103.746,ok,,
rls_with_index,15,3,hot,1,105441.993,120.648,104.000,ok,,
rls_with_index,15,3,hot,2,105605.155,119.773,103.781,ok,,
