baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg
ours,5,7,hot,5,40.789,37.867,14.875,ok,,
ours,5,8,cold,0,787.909,276.227,253.234,error,db_error,SSL SYSCALL error: EOF detected
ours,5,8,hot,1,664.999,276.664,253.016,error,db_error,SSL SYSCALL error: EOF detected
ours,5,8,hot,2,708.356,276.820,253.609,error,db_error,SSL SYSCALL error: EOF detected
ours,5,8,hot,3,705.647,276.277,253.285,error,db_error,SSL SYSCALL error: EOF detected
ours,5,8,hot,4,668.866,276.637,253.426,error,db_error,SSL SYSCALL error: EOF detected
ours,5,8,hot,5,668.854,276.598,253.387,error,db_error,SSL SYSCALL error: EOF detected
rls_with_index,5,1,cold,0,20.461,16.867,0.000,ok,,
rls_with_index,5,1,hot,1,20.439,15.992,0.000,ok,,
rls_with_index,5,1,hot,2,20.337,15.992,0.000,ok,,
rls_with_index,5,1,hot,3,20.421,16.211,0.000,ok,,
rls_with_index,5,1,hot,4,20.452,16.430,0.000,ok,,
rls_with_index,5,1,hot,5,20.437,16.211,0.000,ok,,
rls_with_index,5,2,cold,0,20.296,16.211,0.000,ok,,
rls_with_index,5,2,hot,1,20.434,15.992,0.000,ok,,
rls_with_index,5,2,hot,2,20.462,16.430,0.000,ok,,
rls_with_index,5,2,hot,3,20.434,15.992,0.000,ok,,
rls_with_index,5,2,hot,4,20.407,16.430,0.000,ok,,
rls_with_index,5,2,hot,5,20.443,16.211,0.000,ok,,
rls_with_index,5,3,cold,0,20.325,16.211,0.000,ok,,
rls_with_index,5,3,hot,1,20.474,16.211,0.000,ok,,
rls_with_index,5,3,hot,2,20.458,16.430,0.000,ok,,
rls_with_index,5,3,hot,3,20.460,16.211,0.000,ok,,
rls_with_index,5,3,hot,4,20.363,16.211,0.000,ok,,
rls_with_index,5,3,hot,5,20.442,16.430,0.219,ok,,
rls_with_index,5,4,cold,0,20.258,15.992,0.000,ok,,
rls_with_index,5,4,hot,1,20.449,16.211,0.000,ok,,
rls_with_index,5,4,hot,2,20.476,15.773,0.000,ok,,
rls_with_index,5,4,hot,3,20.378,16.211,0.000,ok,,
rls_with_index,5,4,hot,4,20.543,16.211,0.000,ok,,
rls_with_index,5,4,hot,5,20.464,16.211,0.000,ok,,
rls_with_index,5,5,cold,0,121.692,17.961,1.531,ok,,
rls_with_index,5,5,hot,1,121.699,17.961,1.531,ok,,
rls_with_index,5,5,hot,2,121.667,17.742,1.531,ok,,
rls_with_index,5,5,hot,3,121.802,17.961,1.531,ok,,
rls_with_index,5,5,hot,4,121.559,17.961,1.531,ok,,
rls_with_index,5,5,hot,5,121.482,17.961,1.750,ok,,
rls_with_index,5,6,cold,0,121.654,17.961,1.531,ok,,
rls_with_index,5,6,hot,1,121.477,17.742,1.531,ok,,
rls_with_index,5,6,hot,2,121.681,18.180,1.969,ok,,
rls_with_index,5,6,hot,3,121.587,17.875,1.750,ok,,
rls_with_index,5,6,hot,4,121.737,17.961,1.531,ok,,
rls_with_index,5,6,hot,5,121.651,17.961,1.531,ok,,
rls_with_index,5,7,cold,0,40.437,22.336,5.906,ok,,
rls_with_index,5,7,hot,1,40.482,22.336,6.125,ok,,
rls_with_index,5,7,hot,2,20.288,16.211,0.000,ok,,
rls_with_index,5,7,hot,3,20.210,16.430,0.000,ok,,
rls_with_index,5,7,hot,4,20.256,16.430,0.219,ok,,
rls_with_index,5,7,hot,5,40.658,21.898,5.469,ok,,
rls_with_index,5,8,cold,0,931.218,39.180,22.750,ok,,
rls_with_index,5,8,hot,1,910.733,38.305,22.094,ok,,
rls_with_index,5,8,hot,2,909.892,38.523,22.312,ok,,
rls_with_index,5,8,hot,3,910.526,39.180,22.969,ok,,
rls_with_index,5,8,hot,4,910.418,39.398,23.188,ok,,
rls_with_index,5,8,hot,5,910.576,39.836,23.406,ok,,
rls_no_index,5,1,cold,0,20.314,16.211,0.000,ok,,
rls_no_index,5,1,hot,1,20.452,15.773,0.000,ok,,
rls_no_index,5,1,hot,2,20.426,16.211,0.000,ok,,
rls_no_index,5,1,hot,3,20.435,16.211,0.000,ok,,
rls_no_index,5,1,hot,4,20.413,16.430,0.000,ok,,
rls_no_index,5,1,hot,5,20.437,15.773,0.000,ok,,
rls_no_index,5,2,cold,0,20.454,15.773,0.000,ok,,
rls_no_index,5,2,hot,1,20.443,16.211,0.000,ok,,
rls_no_index,5,2,hot,2,20.432,15.992,0.000,ok,,
rls_no_index,5,2,hot,3,20.468,16.000,0.000,ok,,
rls_no_index,5,2,hot,4,20.443,16.430,0.219,ok,,
rls_no_index,5,2,hot,5,20.432,16.430,0.000,ok,,
rls_no_index,5,3,cold,0,40.717,37.211,20.781,ok,,
rls_no_index,5,3,hot,1,20.486,16.430,0.219,ok,,
rls_no_index,5,3,hot,2,20.475,15.992,0.000,ok,,
rls_no_index,5,3,hot,3,20.457,16.211,0.000,ok,,
rls_no_index,5,3,hot,4,20.437,15.773,0.000,ok,,
rls_no_index,5,3,hot,5,20.408,16.211,0.000,ok,,
rls_no_index,5,4,cold,0,20.410,16.211,0.000,ok,,
rls_no_index,5,4,hot,1,20.437,15.992,0.000,ok,,
rls_no_index,5,4,hot,2,40.687,39.617,23.188,ok,,
rls_no_index,5,4,hot,3,20.506,16.211,0.219,ok,,
rls_no_index,5,4,hot,4,40.750,33.492,17.062,ok,,
rls_no_index,5,4,hot,5,20.405,16.430,0.219,ok,,
rls_no_index,5,5,cold,0,121.628,18.180,1.969,ok,,
rls_no_index,5,5,hot,1,121.535,18.180,1.969,ok,,
rls_no_index,5,5,hot,2,121.660,17.961,1.531,ok,,
