row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,706.290,10810396,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,479.741,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,1,,,693.961,146968,663.023,166848,663.255,167116,,,,,,,663.139,166982,ok,,
query,tpch0_1,1,1,rls_with_index,1,,,361.699,111888,361.746,118544,361.589,118544,,,,,,,361.668,118544,ok,,
query,tpch0_1,1,1,ours,3,,,301.884,168592,271.448,189032,271.786,189260,,,,,,,271.617,189146,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,120.846,126736,120.934,142540,120.666,142468,,,,,,,120.800,142504,ok,,
query,tpch0_1,1,1,ours,6,,,151.243,123204,120.848,166636,120.805,166744,,,,,,,120.827,166690,ok,,
query,tpch0_1,1,1,rls_with_index,6,,,120.770,114960,90.673,118032,90.550,118032,,,,,,,90.611,118032,ok,,
query,tpch0_1,1,1,ours,13,,,151.239,59732,120.861,59400,120.790,59164,,,,,,,120.825,59282,ok,,
query,tpch0_1,1,1,rls_with_index,13,,,90.683,43764,90.578,52892,90.551,52740,,,,,,,90.564,52816,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,3997.595,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,2627.787,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,1,,,573.288,157604,361.989,212760,392.065,214812,,,,,,,377.027,213786,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,,,120.928,105388,120.710,122092,120.702,121752,,,,,,,120.706,121922,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,3,,,482.733,161536,271.707,230584,271.690,212156,,,,,,,271.699,221370,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,,,90.752,134932,60.613,144148,60.546,143896,,,,,,,60.580,144022,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,6,,,362.413,136676,151.234,216116,151.237,235936,,,,,,,151.236,226026,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,,,60.651,67944,60.552,121960,60.441,121596,,,,,,,60.497,121778,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,13,,,151.407,57812,120.924,58540,120.939,58344,,,,,,,120.931,58442,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,,,90.673,43896,90.556,52264,90.502,52208,,,,,,,90.529,52236,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,__setup__,4149.945,30629904,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,__setup__,2859.485,80003072,,,,,,,,,,,,,,,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,1,,,573.511,131080,392.282,208304,392.256,208592,,,,,,,392.269,208448,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,1,,,120.819,92964,120.923,119364,120.698,119040,,,,,,,120.810,119202,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,3,,,573.354,160888,362.252,240412,362.172,240532,,,,,,,362.212,240472,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,3,,,30.533,21784,30.500,26940,30.419,26940,,,,,,,30.459,26940,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,6,,,362.469,122316,151.355,233320,151.316,231748,,,,,,,151.336,232534,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,6,,,60.619,62132,60.561,120788,60.443,120452,,,,,,,60.502,120620,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,13,,,211.920,65476,211.565,74616,211.525,77172,,,,,,,211.545,75894,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,13,,,30.511,21808,30.461,23404,30.403,23404,,,,,,,30.432,23404,ok,,
