db,db_scale,K,policy_ids,median_hot_ours_ms,median_hot_rls_ms,speedup_ratio,cross_median_hot_ours_ms,cross_median_hot_rls_ms,cross_speedup_ratio,median_hot_peak_rss_ours_kb,median_hot_peak_rss_rls_kb,disk_ours_bytes,disk_rls_bytes
tpch0_01,0.01,1,1,30.502,30.379,1.004,30.576,30.376,1.007,52512,33324,1203588,868352
tpch0_01,0.01,5,"1,2,3,4,5",30.557,30.377,1.006,30.582,30.384,1.007,53908,33472,3074652,7692288
tpch0_01,0.01,10,"1,2,3,4,5,6,7,8,9,10",30.634,30.376,1.008,30.646,30.378,1.009,50868,33928,3200819,7962624
tpch0_01,0.01,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",60.836,30.410,2.001,60.827,30.424,1.999,52076,37428,3869075,9641984
tpch0_01,0.01,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",60.994,30.438,2.004,60.999,30.438,2.004,53696,38784,4918599,11583488
