db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,target_rid_bitmap_bytes,signature_cache_bytes,active_sig_dense_count,active_sig_sparse_count,active_sig_density_sum,domain_set_dense_count,domain_set_sparse_count,domain_set_density_sum,block_words_blocks_allocated,block_words_total_blocks,proj_sig_count,proj_mask_or_ops,proj_rid_iters,bytes_sig_ctid_masks,bytes_block_words,bytes_artifact_buffers_retained,bytes_decoded_buffers_retained,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,blocks_seen,blocks_skipped,block_skip_hit_rate,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,ok,,,1.469,197.960,44508.526,0.000,2328.486,82749634,935884,187500,1516543204,19,71,1.657776,417,57,101.324580,39820,138680,1243695,1636829,2190665,763383336,2707760,0,0,0,0,6001197,16846,0,112555,98792,0.877722,2684360,2,1,eval_ms=1.469 artifact_load_ms=197.960 artifact_parse_ms=1632.089 atoms_ms=0.168 propagate_ms=1378.139 project_ms=42726.449 project_mask_ms=0.000 project_row_ms=42718.080 project_mask_bytes=0 project_n_join_evals_max=48 project_clause_words_max=1 clause_plan_count_max=40 prop_join_scans_total=1028 unique_join_struct_sigs_max=7 prop_table_scans=orders:337|customer:195|part:192|lineitem:160|nation:72|region:56|supplier:16 signature_cache_hits=285 signature_cache_misses=24 term_code_scans=24 target_full_row_scans=0 target_rid_bitmap_bytes=187500 signature_cache_bytes=1516543204 active_sig_dense_count=19 active_sig_sparse_count=71 active_sig_density_sum=1.657776 domain_set_dense_count=417 domain_set_sparse_count=57 domain_set_density_sum=101.324580 block_words_blocks_allocated=39820 block_words_total_blocks=138680 proj_sig_count=1243695 proj_mask_or_ops=1636829 proj_rid_iters=2190665 bytes_sig_ctid_masks=763383336 bytes_block_words=2707760 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=1378.139 prop_iters=193 decode_ms=5.832 policy_total_ms=44508.526 ctid_map_ms=0.000 filter_ms=2328.486 child_exec_ms=832.180 ctid_extract_ms=801.942 ctid_to_rid_ms=0.000 allow_check_ms=138.560 projection_ms=2.179 blocks_seen=112555 blocks_skipped=98792 block_skip_hit_rate=0.877722 scan_mode_tid_tables=0 scan_mode_filter_tables=1 tid_blocks_visited=0 tid_tuples_fetched=0 tid_fetch_ms=0.000 tid_qual_ms=0.000 n_scanned_tables=1 n_policy_targets=2 n_filters=1 bytes_artifacts_loaded=82749634 bytes_allow=935884 bytes_ctid=0 bytes_blk_index=0 rows_seen=6001197 rows_passed=16846 ctid_misses=0 rss_kb_before_eval=75000 rss_kb_after_eval=75000 rss_kb_after_load=257248 rss_kb_after_engine=2105432 rss_kb_after_ctid=2105432 rss_kb_end=2113244 peak_rss_kb_end=2684360
tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,3,ok,,,1.405,204.412,44662.353,0.000,1856.460,82749634,2707760,187500,1516543204,19,71,1.657776,417,57,101.324580,39820,138680,1243695,1636829,2190665,763383336,2707760,0,0,0,0,3957732,138952,0,138674,98854,0.712852,2675336,2,1,eval_ms=1.405 artifact_load_ms=204.412 artifact_parse_ms=1638.449 atoms_ms=0.166 propagate_ms=1375.210 project_ms=42872.590 project_mask_ms=0.000 project_row_ms=42864.116 project_mask_bytes=0 project_n_join_evals_max=48 project_clause_words_max=1 clause_plan_count_max=40 prop_join_scans_total=1028 unique_join_struct_sigs_max=7 prop_table_scans=orders:337|customer:195|part:192|lineitem:160|nation:72|region:56|supplier:16 signature_cache_hits=285 signature_cache_misses=24 term_code_scans=24 target_full_row_scans=0 target_rid_bitmap_bytes=187500 signature_cache_bytes=1516543204 active_sig_dense_count=19 active_sig_sparse_count=71 active_sig_density_sum=1.657776 domain_set_dense_count=417 domain_set_sparse_count=57 domain_set_density_sum=101.324580 block_words_blocks_allocated=39820 block_words_total_blocks=138680 proj_sig_count=1243695 proj_mask_or_ops=1636829 proj_rid_iters=2190665 bytes_sig_ctid_masks=763383336 bytes_block_words=2707760 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=1375.210 prop_iters=193 decode_ms=5.781 policy_total_ms=44662.353 ctid_map_ms=0.000 filter_ms=1856.460 child_exec_ms=940.127 ctid_extract_ms=435.586 ctid_to_rid_ms=0.000 allow_check_ms=94.653 projection_ms=11.890 blocks_seen=138674 blocks_skipped=98854 block_skip_hit_rate=0.712852 scan_mode_tid_tables=0 scan_mode_filter_tables=2 tid_blocks_visited=0 tid_tuples_fetched=0 tid_fetch_ms=0.000 tid_qual_ms=0.000 n_scanned_tables=3 n_policy_targets=2 n_filters=2 bytes_artifacts_loaded=82749634 bytes_allow=2707760 bytes_ctid=0 bytes_blk_index=0 rows_seen=3957732 rows_passed=138952 ctid_misses=0 rss_kb_before_eval=72088 rss_kb_after_eval=72088 rss_kb_after_load=221024 rss_kb_after_engine=2096504 rss_kb_after_ctid=2096504 rss_kb_end=2113488 peak_rss_kb_end=2675336
tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,6,ok,,,1.470,196.407,44449.574,0.000,779.677,82749634,935884,187500,1516543204,19,71,1.657776,417,57,101.324580,39820,138680,1243695,1636829,2190665,763383336,2707760,0,0,0,0,114238,2013,0,64823,56160,0.866359,2680728,2,1,eval_ms=1.470 artifact_load_ms=196.407 artifact_parse_ms=1647.749 atoms_ms=0.165 propagate_ms=1374.827 project_ms=42652.746 project_mask_ms=0.000 project_row_ms=42644.490 project_mask_bytes=0 project_n_join_evals_max=48 project_clause_words_max=1 clause_plan_count_max=40 prop_join_scans_total=1028 unique_join_struct_sigs_max=7 prop_table_scans=orders:337|customer:195|part:192|lineitem:160|nation:72|region:56|supplier:16 signature_cache_hits=285 signature_cache_misses=24 term_code_scans=24 target_full_row_scans=0 target_rid_bitmap_bytes=187500 signature_cache_bytes=1516543204 active_sig_dense_count=19 active_sig_sparse_count=71 active_sig_density_sum=1.657776 domain_set_dense_count=417 domain_set_sparse_count=57 domain_set_density_sum=101.324580 block_words_blocks_allocated=39820 block_words_total_blocks=138680 proj_sig_count=1243695 proj_mask_or_ops=1636829 proj_rid_iters=2190665 bytes_sig_ctid_masks=763383336 bytes_block_words=2707760 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=1374.827 prop_iters=193 decode_ms=5.676 policy_total_ms=44449.574 ctid_map_ms=0.000 filter_ms=779.677 child_exec_ms=749.288 ctid_extract_ms=13.313 ctid_to_rid_ms=0.000 allow_check_ms=5.654 projection_ms=0.283 blocks_seen=64823 blocks_skipped=56160 block_skip_hit_rate=0.866359 scan_mode_tid_tables=0 scan_mode_filter_tables=1 tid_blocks_visited=0 tid_tuples_fetched=0 tid_fetch_ms=0.000 tid_qual_ms=0.000 n_scanned_tables=1 n_policy_targets=2 n_filters=1 bytes_artifacts_loaded=82749634 bytes_allow=935884 bytes_ctid=0 bytes_blk_index=0 rows_seen=114238 rows_passed=2013 ctid_misses=0 rss_kb_before_eval=72584 rss_kb_after_eval=72584 rss_kb_after_load=247440 rss_kb_after_engine=2101948 rss_kb_after_ctid=2101948 rss_kb_end=2109232 peak_rss_kb_end=2680728
tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,13,ok,,,0.932,33.471,1493.741,0.000,762.090,14712487,1771876,0,109166681,13,0,1.367119,49,0,14.244384,26057,26125,262563,2190224,0,71859601,1771876,0,0,0,0,1483672,140610,0,26125,68,0.002603,340112,2,1,eval_ms=0.932 artifact_load_ms=33.471 artifact_parse_ms=139.674 atoms_ms=0.054 propagate_ms=46.194 project_ms=1326.041 project_mask_ms=0.000 project_row_ms=1322.805 project_mask_bytes=0 project_n_join_evals_max=4 project_clause_words_max=1 clause_plan_count_max=17 prop_join_scans_total=126 unique_join_struct_sigs_max=4 prop_table_scans=customer:52|nation:32|orders:26|region:16 signature_cache_hits=28 signature_cache_misses=10 term_code_scans=10 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=109166681 active_sig_dense_count=13 active_sig_sparse_count=0 active_sig_density_sum=1.367119 domain_set_dense_count=49 domain_set_sparse_count=0 domain_set_density_sum=14.244384 block_words_blocks_allocated=26057 block_words_total_blocks=26125 proj_sig_count=262563 proj_mask_or_ops=2190224 proj_rid_iters=0 bytes_sig_ctid_masks=71859601 bytes_block_words=1771876 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=46.194 prop_iters=26 decode_ms=3.186 policy_total_ms=1493.741 ctid_map_ms=0.000 filter_ms=762.090 child_exec_ms=466.334 ctid_extract_ms=105.225 ctid_to_rid_ms=0.000 allow_check_ms=35.399 projection_ms=10.195 blocks_seen=26125 blocks_skipped=68 block_skip_hit_rate=0.002603 scan_mode_tid_tables=0 scan_mode_filter_tables=1 tid_blocks_visited=0 tid_tuples_fetched=0 tid_fetch_ms=0.000 tid_qual_ms=0.000 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=14712487 bytes_allow=1771876 bytes_ctid=0 bytes_blk_index=0 rows_seen=1483672 rows_passed=140610 ctid_misses=0 rss_kb_before_eval=75800 rss_kb_after_eval=75800 rss_kb_after_load=109612 rss_kb_after_engine=300872 rss_kb_after_ctid=300872 rss_kb_end=335372 peak_rss_kb_end=340112
tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,22,ok,,,0.904,35.211,1491.544,0.000,406.110,14712487,1771876,0,109166681,13,0,1.367119,49,0,14.244384,26057,26125,262563,2190224,0,71859601,1771876,0,0,0,0,1500000,142142,0,26125,68,0.002603,291920,2,1,eval_ms=0.904 artifact_load_ms=35.211 artifact_parse_ms=138.627 atoms_ms=0.059 propagate_ms=46.180 project_ms=1324.528 project_mask_ms=0.000 project_row_ms=1321.249 project_mask_bytes=0 project_n_join_evals_max=4 project_clause_words_max=1 clause_plan_count_max=17 prop_join_scans_total=126 unique_join_struct_sigs_max=4 prop_table_scans=customer:52|nation:32|orders:26|region:16 signature_cache_hits=28 signature_cache_misses=10 term_code_scans=10 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=109166681 active_sig_dense_count=13 active_sig_sparse_count=0 active_sig_density_sum=1.367119 domain_set_dense_count=49 domain_set_sparse_count=0 domain_set_density_sum=14.244384 block_words_blocks_allocated=26057 block_words_total_blocks=26125 proj_sig_count=262563 proj_mask_or_ops=2190224 proj_rid_iters=0 bytes_sig_ctid_masks=71859601 bytes_block_words=1771876 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=46.180 prop_iters=26 decode_ms=3.348 policy_total_ms=1491.544 ctid_map_ms=0.000 filter_ms=406.110 child_exec_ms=135.702 ctid_extract_ms=79.149 ctid_to_rid_ms=0.000 allow_check_ms=34.333 projection_ms=8.928 blocks_seen=26125 blocks_skipped=68 block_skip_hit_rate=0.002603 scan_mode_tid_tables=0 scan_mode_filter_tables=1 tid_blocks_visited=0 tid_tuples_fetched=0 tid_fetch_ms=0.000 tid_qual_ms=0.000 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=14712487 bytes_allow=1771876 bytes_ctid=0 bytes_blk_index=0 rows_seen=1500000 rows_passed=142142 ctid_misses=0 rss_kb_before_eval=28444 rss_kb_after_eval=28444 rss_kb_after_load=62368 rss_kb_after_engine=252680 rss_kb_after_ctid=252680 rss_kb_end=282920 peak_rss_kb_end=291920
