db,db_scale,K,policy_ids,median_hot_ours_ms,median_hot_rls_ms,speedup_ratio,cross_median_hot_ours_ms,cross_median_hot_rls_ms,cross_speedup_ratio,median_hot_peak_rss_ours_kb,median_hot_peak_rss_rls_kb,disk_ours_bytes,disk_rls_bytes
tpch0_1,0.1,1,1,392.376,11054.735,0.035,392.376,241.465,1.625,170884,91584,12011528,8372224
tpch0_1,0.1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",256.889,241.278,1.065,0.000,241.278,0.000,170812,143368,46155726,110084096
