run_id,ts,db,K,policy_ids,ours_artifact_build_ms_total,ours_artifact_bytes_db,ours_artifact_bytes_disk,rls_index_build_ms_total,rls_index_bytes
matrix_tripartite_smoke_20260218_074643,2026-02-17T07:52:25+05:30,tpch0_1,5,"1,2,3,4,5",5039.776,8900652,9306112,4238.554,75563008
matrix_tripartite_smoke_20260218_074643,2026-02-17T07:52:52+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",6144.813,12636550,13189120,4779.464,92323840
