db,db_scale,K,policy_ids,median_hot_ours_ms,median_hot_rls_ms,speedup_ratio,cross_median_hot_ours_ms,cross_median_hot_rls_ms,cross_speedup_ratio,median_hot_peak_rss_ours_kb,median_hot_peak_rss_rls_kb,disk_ours_bytes,disk_rls_bytes
tpch0_01,0.01,1,1,30.470,30.378,1.003,30.480,30.378,1.003,49968,30836,1083254,868352
tpch0_01,0.01,5,"1,2,3,4,5",30.678,30.462,1.007,60.610,30.393,1.994,52656,31920,2954322,7692288
tpch0_01,0.01,10,"1,2,3,4,5,6,7,8,9,10",30.659,30.429,1.008,30.659,30.430,1.008,45308,30460,3077505,7962624
tpch0_01,0.01,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",241.479,30.455,7.929,241.483,30.445,7.932,56444,23316,3715745,9641984
tpch0_01,0.01,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",61.001,30.525,1.998,61.001,30.395,2.007,59004,24144,4745107,11583488
