row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,706.213,10810396,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,478.725,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,1,,,724.081,74848,693.134,97376,,,,,,,,,693.134,97376,ok,,
query,tpch0_1,1,1,rls_with_index,1,,,391.914,45844,391.783,49428,,,,,,,,,391.783,49428,ok,,
query,tpch0_1,1,1,ours,3,,,301.999,93660,271.509,123004,,,,,,,,,271.509,123004,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,120.889,50436,120.821,76076,,,,,,,,,120.821,76076,ok,,
query,tpch0_1,1,1,ours,6,,,151.203,59760,120.894,99592,,,,,,,,,120.894,99592,ok,,
query,tpch0_1,1,1,rls_with_index,6,,,120.817,43308,120.663,51032,,,,,,,,,120.663,51032,ok,,
query,tpch0_1,1,1,ours,13,,,151.196,55100,121.039,54732,,,,,,,,,121.039,54732,ok,,
query,tpch0_1,1,1,rls_with_index,13,,,90.706,44764,90.657,49796,,,,,,,,,90.657,49796,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,4073.682,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,2610.794,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,1,,,573.274,102108,392.215,153304,,,,,,,,,392.215,153304,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,,,151.060,102356,120.734,119452,,,,,,,,,120.734,119452,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,3,,,452.904,143984,271.769,210140,,,,,,,,,271.769,210140,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,,,90.788,127988,60.593,144372,,,,,,,,,60.593,144372,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,6,,,362.188,131248,151.210,213424,,,,,,,,,151.210,213424,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,,,60.672,59504,60.584,120440,,,,,,,,,60.584,120440,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,13,,,151.414,53112,120.996,54800,,,,,,,,,120.996,54800,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,,,90.687,44836,90.627,50428,,,,,,,,,90.627,50428,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,__setup__,4154.600,30629904,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,__setup__,2853.691,80003072,,,,,,,,,,,,,,,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,1,,,573.530,119616,392.258,202048,,,,,,,,,392.258,202048,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,1,,,150.976,119144,120.861,120424,,,,,,,,,120.861,120424,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,3,,,543.187,153120,362.150,240516,,,,,,,,,362.150,240516,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,3,,,30.557,22296,30.546,27964,,,,,,,,,30.546,27964,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,6,,,362.406,131400,151.289,213036,,,,,,,,,151.289,213036,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,6,,,60.612,62380,60.463,122640,,,,,,,,,60.463,122640,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,13,,,211.577,66344,211.254,77220,,,,,,,,,211.254,77220,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,13,,,30.511,22364,30.551,23908,,,,,,,,,30.551,23908,ok,,
