run_id,ts,db,K,policy_ids,ours_artifact_build_ms_total,ours_artifact_bytes_db,ours_artifact_bytes_disk,rls_index_build_ms_total,rls_index_bytes
matrix_gate_nontargets_K5_15_q1_3_6_13_22_20260215_201943,2026-02-14T20:26:43+05:30,tpch0_1,5,"1,2,3,4,5",5132.011,8900652,9306112,2650.123,75563008
matrix_gate_nontargets_K5_15_q1_3_6_13_22_20260215_201943,2026-02-14T20:27:02+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",6138.881,12636550,13189120,3070.473,92323840
matrix_gate_nontargets_K5_15_q1_3_6_13_22_20260215_201943,2026-02-14T20:29:09+05:30,tpch1,5,"1,2,3,4,5",47443.579,91302745,94797824,29031.723,753713152
matrix_gate_nontargets_K5_15_q1_3_6_13_22_20260215_201943,2026-02-14T20:31:47+05:30,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",61284.456,128614976,133513216,33241.811,918839296
matrix_gate_nontargets_K5_15_q1_3_6_13_22_20260215_201943,2026-02-14T20:51:36+05:30,tpch10,5,"1,2,3,4,5",429185.246,891244842,924835840,300761.611,7533043712
matrix_gate_nontargets_K5_15_q1_3_6_13_22_20260215_201943,2026-02-14T21:16:47+05:30,tpch10,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",583432.312,1261257021,1308786688,342841.094,9181044736
