db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,cmp_mode,cmp_first_diff_idx,cmp_first_ours,cmp_first_gt,cmp_rows_file_ours,cmp_rows_file_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,sat_ms,sat_models_total,terms_total,single_hub_ms,two_hop_ms,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch1,rls_index,P16,16,1,1,,,602.120,148988,0,0,TRUE,canonical_multiset,,,,,,13832.638,321044480,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P16,16,1,1,,,151.329,181656,0,0,TRUE,canonical_multiset,,,,,,9042.859,126940942,true,,,,,0,0,0,0,0,0,0,151.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P18,18,1,1,,,602.878,73652,0,0,TRUE,canonical_multiset,,,,,,18892.401,313032704,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P18,18,1,1,,,151.327,165300,0,0,TRUE,canonical_multiset,,,,,,5461.362,66198444,true,,,,,0,0,0,0,0,0,0,151.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P16_18,"16,18",1,1,,,602.670,77696,0,0,TRUE,canonical_multiset,,,,,,24851.806,499073024,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P16_18,"16,18",1,1,,,151.161,164776,0,0,TRUE,canonical_multiset,,,,,,11408.344,142128700,true,,,,,0,0,0,0,0,0,0,151.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch1,rls_index,P15_19,"15,16,17,18,19",1,1,,,22620.541,155640,4,4,TRUE,canonical_multiset,,,,,,45832.710,705593344,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,P15_19,"15,16,17,18,19",1,1,,,73069.201,1291672,4,4,FALSE,canonical_multiset,0,"{""l_returnflag"":""A"",""l_linestatus"":""F"",""sum_qty"":399771.00,""sum_base_price"":598151671.44,""sum_disc_price"":581862337.8573,""sum_charge"":605231709.225396,""avg_qty"":11.6796482412060302,""avg_price"":17475.507521327568,""avg_...","{""l_returnflag"":""A"",""l_linestatus"":""F"",""sum_qty"":387476.00,""sum_base_price"":579316834.08,""sum_disc_price"":563582738.1021,""sum_charge"":586237257.476016,""avg_qty"":11.7449001242763178,""avg_price"":17559.844626716377,""avg_...",logs/tmp_policy_debug_split/stage03_rows_tpch1_ours_P15_19_q1_ours.txt,logs/tmp_policy_debug_split/stage03_rows_tpch1_rls_index_P15_19_q1_gt.txt,17074.087,176105619,true,TID,sparse_allow_set,0.018807,0.610937,0,0,0,0,0,0,0,73069.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55785.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
