run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,result_hash,ours_count,ours_hash,rls_count,rls_hash,correctness,_run
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",rls_with_index,3,0,1,2.521,6.191,8.712,227.387,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1,w5_15_k10
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",ours,6,0,1,0.366,2146.227,2146.593,786.910,ok,,,1,e55abca015065a4bf8ff93728d8f6be8,1,e55abca015065a4bf8ff93728d8f6be8,1,e55abca015065a4bf8ff93728d8f6be8,1,w5_15_k10
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",rls_with_index,6,0,1,0.123,1522.954,1523.077,233.941,ok,,,1,e55abca015065a4bf8ff93728d8f6be8,1,e55abca015065a4bf8ff93728d8f6be8,1,e55abca015065a4bf8ff93728d8f6be8,1,w5_15_k10
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",ours,13,0,1,0.721,409.252,409.973,336.953,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1,w5_15_k10
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",rls_with_index,13,0,1,1.919,63.870,65.789,233.941,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1,w5_15_k10
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",ours,22,0,1,0.959,420.793,421.752,346.953,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1,w5_15_k10
matrix_factored_w5_15_retry2_20260220_1120,2026-02-20T11:20:44+05:30,tpch1,10,"5,6,7,8,9,10,11,12,13,14",rls_with_index,22,0,1,1.772,8.685,10.457,233.941,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1,w5_15_k10
matrix_factored_w11_20_retry_20260220_1122,2026-02-20T11:21:29+05:30,tpch0_1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,0,1,1.223,696.535,697.758,131.059,ok,,,4,ff0cdc68c9c246a10286ad194db2db14,4,ff0cdc68c9c246a10286ad194db2db14,4,ff0cdc68c9c246a10286ad194db2db14,1,w11_20_k10
matrix_factored_w11_20_retry_20260220_1122,2026-02-20T11:21:29+05:30,tpch0_1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,1,0,1,6.049,5609.876,5615.925,231.172,ok,,,4,ff0cdc68c9c246a10286ad194db2db14,4,ff0cdc68c9c246a10286ad194db2db14,4,ff0cdc68c9c246a10286ad194db2db14,1,w11_20_k10
matrix_factored_w11_20_retry_20260220_1122,2026-02-20T11:21:29+05:30,tpch0_1,10,"11,12,13,14,15,16,17,18,19,20",ours,3,0,1,0.875,614.521,615.396,137.211,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1,w11_20_k10
