db,policy_set,policy_ids,query_id,status,error_type,error_msg,hub_ms,stamp_ms,propagate_ms,bin_ms,sig_ms,sat_ms,decode_ms,filter_ms,policy_profile_query_line,policy_profile_line
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",11,1,,,1191.195,12.004,1.128,0.009,0.910,0.002,1.641,463.148,policy_profile_query: hub_ms=1191.195 stamp_ms=12.004 propagate_ms=1.128 bin_ms=0.009 sig_ms=0.910 sat_ms=0.002 decode_ms=1.641,policy_profile: filter_ms=463.148
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",13,1,,,4.823,0.000,0.000,0.000,0.000,0.000,0.000,741.988,policy_profile_query: hub_ms=4.823 stamp_ms=0.000 propagate_ms=0.000 bin_ms=0.000 sig_ms=0.000 sat_ms=0.000 decode_ms=0.000,policy_profile: filter_ms=741.988
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",22,1,,,4.686,0.000,0.000,0.000,0.000,0.000,0.000,366.601,policy_profile_query: hub_ms=4.686 stamp_ms=0.000 propagate_ms=0.000 bin_ms=0.000 sig_ms=0.000 sat_ms=0.000 decode_ms=0.000,policy_profile: filter_ms=366.601
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,1,,,2385.783,2842.830,35.260,2.831,3035.947,1.158,284.961,3718.525,policy_profile_query: hub_ms=2385.783 stamp_ms=2842.830 propagate_ms=35.260 bin_ms=2.831 sig_ms=3035.947 sat_ms=1.158 decode_ms=284.961,policy_profile: filter_ms=3718.525
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,1,,,2378.895,2826.596,34.819,2.792,2970.412,1.142,284.245,0.000,policy_profile_query: hub_ms=2378.895 stamp_ms=2826.596 propagate_ms=34.819 bin_ms=2.792 sig_ms=2970.412 sat_ms=1.142 decode_ms=284.245,policy_profile: filter_ms=0.000
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,1,,,2543.699,2728.995,9.488,2.734,2864.038,1.675,284.603,835.109,policy_profile_query: hub_ms=2543.699 stamp_ms=2728.995 propagate_ms=9.488 bin_ms=2.734 sig_ms=2864.038 sat_ms=1.675 decode_ms=284.603,policy_profile: filter_ms=835.109
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,1,,,2406.180,2749.822,12.307,2.757,3019.025,1.424,284.028,0.000,policy_profile_query: hub_ms=2406.180 stamp_ms=2749.822 propagate_ms=12.307 bin_ms=2.757 sig_ms=3019.025 sat_ms=1.424 decode_ms=284.028,policy_profile: filter_ms=0.000
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,1,,,321.156,11.391,1.108,0.010,17.582,0.074,3.696,462.863,policy_profile_query: hub_ms=321.156 stamp_ms=11.391 propagate_ms=1.108 bin_ms=0.010 sig_ms=17.582 sat_ms=0.074 decode_ms=3.696,policy_profile: filter_ms=462.863
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,1,,,375.743,81.831,1.263,0.000,346.130,0.082,22.638,0.028,policy_profile_query: hub_ms=375.743 stamp_ms=81.831 propagate_ms=1.263 bin_ms=0.000 sig_ms=346.130 sat_ms=0.082 decode_ms=22.638,policy_profile: filter_ms=0.028
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,1,,,378.843,81.233,1.326,0.000,344.133,0.084,22.256,0.014,policy_profile_query: hub_ms=378.843 stamp_ms=81.233 propagate_ms=1.326 bin_ms=0.000 sig_ms=344.133 sat_ms=0.084 decode_ms=22.256,policy_profile: filter_ms=0.014
