row_type,db,K,query_id,setup_ms,cold_ms,hot1_ms,hot2_ms,hot3_ms,hot4_ms,hot5_ms,hot_avg_ms,status,error_type,error_msg
setup,tpch0_1,5,__setup__,5000.636,,,,,,,,ok,,
query,tpch0_1,5,1,,344.655,162.150,,,,,162.150,ok,,
