db,policy_set,policy_ids,query_id,rls_hot_ms,ours_hot_ms,speedup_rls_over_ours,rls_peak_rss_kb,ours_peak_rss_kb,rss_ratio_rls_over_ours,rls_status,ours_status
tpch0_1,S_A,"1,2,3,4,5",1,121.013,512.581,0.236,152492,221264,0.689,1,1
tpch0_1,S_A,"1,2,3,4,5",10,61.682,513.172,0.120,154264,223808,0.689,1,1
tpch0_1,S_A,"1,2,3,4,5",11,30.507,30.742,0.992,52980,48120,1.101,1,1
tpch0_1,S_A,"1,2,3,4,5",13,90.572,90.773,0.998,64268,95960,0.670,1,1
tpch0_1,S_A,"1,2,3,4,5",22,30.401,30.596,0.994,86400,94856,0.911,1,1
tpch0_1,S_A,"1,2,3,4,5",3,60.584,482.415,0.126,150180,224164,0.670,1,1
tpch0_1,S_A,"1,2,3,4,5",6,60.528,482.450,0.125,149240,221428,0.674,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,120.793,512.592,0.236,150228,218336,0.688,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,60.569,542.804,0.112,148996,129948,1.147,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,30.535,30.754,0.993,38108,84972,0.448,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,30.388,121.045,0.251,30544,55408,0.551,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,30.380,120.937,0.251,30528,54736,0.558,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,30.419,542.727,0.056,32852,129188,0.254,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,60.563,482.462,0.126,147568,218320,0.676,1,1
tpch0_1,S_C,"11,12,13,14,15",1,1355.770,151.182,8.968,150288,127300,1.181,1,1
tpch0_1,S_C,"11,12,13,14,15",10,331.524,151.189,2.193,138164,129752,1.065,1,1
tpch0_1,S_C,"11,12,13,14,15",11,30.545,30.671,0.996,37592,76172,0.494,1,1
tpch0_1,S_C,"11,12,13,14,15",13,602.529,60.779,9.913,102620,67644,1.517,1,1
tpch0_1,S_C,"11,12,13,14,15",22,90.563,60.724,1.491,101332,66800,1.517,1,1
tpch0_1,S_C,"11,12,13,14,15",3,150.893,151.125,0.998,125972,128608,0.980,1,1
tpch0_1,S_C,"11,12,13,14,15",6,692.917,151.123,4.585,148748,125732,1.183,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",1,3102.634,693.659,4.473,151192,194896,0.776,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",10,361.610,693.534,0.521,138788,196028,0.708,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",11,30.375,91.157,0.333,23136,65420,0.354,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",13,602.496,61.062,9.867,99184,68516,1.448,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",22,90.655,60.950,1.487,99112,68168,1.454,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",3,150.967,723.709,0.209,126704,194408,0.652,1,1
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",6,1777.225,723.806,2.455,153964,195252,0.789,1,1
tpch0_1,S_E,"21,22,23,24,25",1,482.099,753.592,0.640,144768,200356,0.723,1,1
tpch0_1,S_E,"21,22,23,24,25",10,95.977,243.370,0.394,154504,204408,0.756,1,1
tpch0_1,S_E,"21,22,23,24,25",11,30.409,90.851,0.335,22680,62908,0.361,1,1
tpch0_1,S_E,"21,22,23,24,25",13,90.637,90.764,0.999,72064,80848,0.891,1,1
tpch0_1,S_E,"21,22,23,24,25",22,30.383,30.529,0.995,70280,79808,0.881,1,1
tpch0_1,S_E,"21,22,23,24,25",3,150.926,301.756,0.500,151972,206184,0.737,1,1
tpch0_1,S_E,"21,22,23,24,25",6,150.764,181.160,0.832,144060,200788,0.717,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",1,1717.184,1203.938,1.426,155704,339716,0.458,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",10,30.505,693.074,0.044,62696,329524,0.190,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",11,30.376,271.808,0.112,24384,144788,0.168,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",13,30.386,120.971,0.251,67860,87508,0.775,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",22,30.383,90.875,0.334,43108,87212,0.494,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",3,30.520,753.748,0.040,62568,335296,0.187,1,1
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",6,1205.124,602.319,2.001,149892,310740,0.482,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,3132.690,2832.191,1.106,155232,350704,0.443,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,30.564,2018.870,0.015,45612,264732,0.172,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,30.384,1267.374,0.024,24716,164568,0.150,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,30.397,1175.523,0.026,44412,139964,0.317,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,30.398,1175.505,0.026,44972,138988,0.324,1,1
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,30.519,1868.219,0.016,21972,281716,0.078,1,1
