db,policy_set,policy_ids,query_id,baseline,status,error_type,error_msg,setup_ms,hot_ms,peak_rss_kb,parallelism_off_verified
tpch0_1,S_A,"1,2,3,4,5",1,rls_index,1,,,4315.431,121.033,121188,true
tpch0_1,S_A,"1,2,3,4,5",3,rls_index,1,,,4315.431,60.592,151172,true
tpch0_1,S_A,"1,2,3,4,5",6,rls_index,1,,,4315.431,60.582,151196,true
tpch0_1,S_A,"1,2,3,4,5",10,rls_index,1,,,4315.431,60.859,154764,true
tpch0_1,S_A,"1,2,3,4,5",11,rls_index,1,,,4315.431,30.496,39040,true
tpch0_1,S_A,"1,2,3,4,5",13,rls_index,1,,,4315.431,90.602,112116,true
tpch0_1,S_A,"1,2,3,4,5",22,rls_index,1,,,4315.431,30.433,109904,true
tpch0_1,S_A,"1,2,3,4,5",1,ours,1,,,1167.261,362.101,204020,true
tpch0_1,S_A,"1,2,3,4,5",3,ours,1,,,1167.261,331.896,204852,true
tpch0_1,S_A,"1,2,3,4,5",6,ours,1,,,1167.261,331.892,204532,true
tpch0_1,S_A,"1,2,3,4,5",10,ours,1,,,1167.261,332.300,206088,true
tpch0_1,S_A,"1,2,3,4,5",11,ours,1,,,1167.261,30.795,43496,true
tpch0_1,S_A,"1,2,3,4,5",13,ours,1,,,1167.261,90.884,116340,true
tpch0_1,S_A,"1,2,3,4,5",22,ours,1,,,1167.261,30.592,114540,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,rls_index,1,,,4379.703,120.818,149244,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,rls_index,1,,,4379.703,30.466,29188,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,rls_index,1,,,4379.703,60.491,148508,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,rls_index,1,,,4379.703,60.525,150672,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,rls_index,1,,,4379.703,30.458,37532,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,rls_index,1,,,4379.703,30.404,35620,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,rls_index,1,,,4379.703,30.483,36116,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,ours,1,,,1222.104,362.339,200792,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,ours,1,,,1222.104,331.893,109800,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,ours,1,,,1222.104,301.713,202012,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,ours,1,,,1222.104,331.683,109036,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,ours,1,,,1222.104,30.725,81440,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,ours,1,,,1222.104,90.845,39248,true
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,ours,1,,,1222.104,90.833,38980,true
tpch0_1,S_C,"11,12,13,14,15",1,rls_index,1,,,1905.267,1355.762,147076,true
tpch0_1,S_C,"11,12,13,14,15",3,rls_index,1,,,1905.267,150.881,130200,true
tpch0_1,S_C,"11,12,13,14,15",6,rls_index,1,,,1905.267,692.971,146112,true
tpch0_1,S_C,"11,12,13,14,15",10,rls_index,1,,,1905.267,331.693,136096,true
tpch0_1,S_C,"11,12,13,14,15",11,rls_index,1,,,1905.267,30.531,37496,true
tpch0_1,S_C,"11,12,13,14,15",13,rls_index,1,,,1905.267,602.575,109784,true
