db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,hash,gt_rows,gt_hash,match_gt,setup_ms,disk_bytes,scan_mode,scan_mode_reason,allow_density,parallelism_off_verified,proj_sig_count,proj_mask_or_ops,proj_rid_iters,cf_exec_ms_total,custom_scan_total_ms,custom_scan_overhead_ms,cf_exec_child_next_calls_total,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,bin_ops_total,bins_touched_total,bin_rids_scanned_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,single_table_bin_fastpath_used
tpch0_1,rls_index,S_B,"1,2,3,4,5,6,7,8,9,10",3,1,,,30.591,44596,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,TRUE,4353.735,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_B,"1,2,3,4,5,6,7,8,9,10",6,1,,,60.712,145484,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,TRUE,4353.735,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_B,"1,2,3,4,5,6,7,8,9,10",10,1,,,60.589,151016,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,TRUE,4353.735,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_B,"1,2,3,4,5,6,7,8,9,10",11,1,,,30.712,51324,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,TRUE,4353.735,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_B,"1,2,3,4,5,6,7,8,9,10",1,1,,,120.999,146380,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,TRUE,4374.401,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_B,"1,2,3,4,5,6,7,8,9,10",3,1,,,30.486,41292,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,TRUE,4374.401,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_B,"1,2,3,4,5,6,7,8,9,10",6,1,,,60.747,145552,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,TRUE,4374.401,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_B,"1,2,3,4,5,6,7,8,9,10",10,1,,,30.514,38572,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,TRUE,4374.401,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_B,"1,2,3,4,5,6,7,8,9,10",11,1,,,30.584,65616,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,TRUE,4374.401,77275136,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,ours,S_B,"1,2,3,4,5,6,7,8,9,10",1,1,,,1988.594,253172,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,TRUE,2984.586,30601996,TID,summary_counter,NA,true,0,0,0,47.271,47.271,8.382,0,0.000,0.000,0.000,0.000,6.176,40243,40243,0,40243,0.000,40243,40243,29.208,10828,29.208,7.643,29.208,25,0,0,0,1,459.802,0
tpch0_1,ours,S_B,"1,2,3,4,5,6,7,8,9,10",3,1,,,3223.556,177308,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,TRUE,2984.586,30601996,NONE_NO_TARGET,no_policy_target_scan,NA,true,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0,0,0.000,0,0.000,0.000,0.000,47,0,0,0,2,471.470,0
tpch0_1,ours,S_B,"1,2,3,4,5,6,7,8,9,10",6,1,,,1958.496,257568,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,TRUE,2984.586,30601996,TID,summary_counter,NA,true,0,0,0,26.692,26.692,2.983,0,0.000,0.000,0.000,0.000,0.211,40243,1691,38552,40243,0.000,40243,40243,18.785,10828,18.785,0.268,18.785,25,0,0,0,1,455.578,0
tpch0_1,ours,S_B,"1,2,3,4,5,6,7,8,9,10",10,1,,,3193.364,178916,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,TRUE,2984.586,30601996,NONE_NO_TARGET,no_policy_target_scan,NA,true,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0,0,0.000,0,0.000,0.000,0.000,47,0,0,0,2,476.776,0
tpch0_1,ours,S_B,"1,2,3,4,5,6,7,8,9,10",11,1,,,30.953,52152,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,TRUE,2984.586,30601996,NONE_NO_TARGET,no_policy_target_scan,NA,true,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0,0,0.000,0,0.000,0.000,0.000,0,0,0,0,0,0,0
