db,policy_set,policy_ids,query_id,baseline,status,error_type,error_msg,setup_ms,hot_ms,peak_rss_kb,parallelism_off_verified
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",11,ours,1,,,1577.927,91.157,65420,true
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",13,ours,1,,,1577.927,61.062,68516,true
tpch0_1,S_D,"11,12,13,14,15,16,17,18,19,20",22,ours,1,,,1577.927,60.950,68168,true
tpch0_1,S_E,"21,22,23,24,25",1,rls_index,1,,,3374.810,482.099,144768,true
tpch0_1,S_E,"21,22,23,24,25",3,rls_index,1,,,3374.810,150.926,151972,true
tpch0_1,S_E,"21,22,23,24,25",6,rls_index,1,,,3374.810,150.764,144060,true
tpch0_1,S_E,"21,22,23,24,25",10,rls_index,1,,,3374.810,95.977,154504,true
tpch0_1,S_E,"21,22,23,24,25",11,rls_index,1,,,3374.810,30.409,22680,true
tpch0_1,S_E,"21,22,23,24,25",13,rls_index,1,,,3374.810,90.637,72064,true
tpch0_1,S_E,"21,22,23,24,25",22,rls_index,1,,,3374.810,30.383,70280,true
tpch0_1,S_E,"21,22,23,24,25",1,ours,1,,,866.911,753.592,200356,true
tpch0_1,S_E,"21,22,23,24,25",3,ours,1,,,866.911,301.756,206184,true
tpch0_1,S_E,"21,22,23,24,25",6,ours,1,,,866.911,181.160,200788,true
tpch0_1,S_E,"21,22,23,24,25",10,ours,1,,,866.911,243.370,204408,true
tpch0_1,S_E,"21,22,23,24,25",11,ours,1,,,866.911,90.851,62908,true
tpch0_1,S_E,"21,22,23,24,25",13,ours,1,,,866.911,90.764,80848,true
tpch0_1,S_E,"21,22,23,24,25",22,ours,1,,,866.911,30.529,79808,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",1,rls_index,1,,,4912.088,1717.184,155704,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",3,rls_index,1,,,4912.088,30.520,62568,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",6,rls_index,1,,,4912.088,1205.124,149892,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",10,rls_index,1,,,4912.088,30.505,62696,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",11,rls_index,1,,,4912.088,30.376,24384,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",13,rls_index,1,,,4912.088,30.386,67860,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",22,rls_index,1,,,4912.088,30.383,43108,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",1,ours,1,,,2367.212,1203.938,339716,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",3,ours,1,,,2367.212,753.748,335296,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",6,ours,1,,,2367.212,602.319,310740,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",10,ours,1,,,2367.212,693.074,329524,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",11,ours,1,,,2367.212,271.808,144788,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",13,ours,1,,,2367.212,120.971,87508,true
tpch0_1,S_F,"21,22,23,24,25,26,27,28,29,30",22,ours,1,,,2367.212,90.875,87212,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,rls_index,1,,,4980.854,3132.690,155232,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,rls_index,1,,,4980.854,30.519,21972,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,rls_index,1,,,4980.854,2168.936,153020,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,rls_index,1,,,4980.854,30.564,45612,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,rls_index,1,,,4980.854,30.384,24716,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,rls_index,1,,,4980.854,30.397,44412,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,rls_index,1,,,4980.854,30.398,44972,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,ours,1,,,2409.099,2832.191,350704,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,ours,1,,,2409.099,1868.219,281716,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,ours,1,,,2409.099,2169.414,326756,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,ours,1,,,2409.099,2018.870,264732,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,ours,1,,,2409.099,1267.374,164568,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,ours,1,,,2409.099,1175.523,139964,true
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,ours,1,,,2409.099,1175.505,138988,true
tpch1,S_A,"1,2,3,4,5",1,rls_index,1,,,49495.972,1747.274,174588,true
tpch1,S_A,"1,2,3,4,5",3,rls_index,1,,,49495.972,1295.720,175276,true
tpch1,S_A,"1,2,3,4,5",6,rls_index,1,,,49495.972,632.961,149560,true
tpch1,S_A,"1,2,3,4,5",10,rls_index,1,,,49495.972,1446.634,190056,true
tpch1,S_A,"1,2,3,4,5",11,rls_index,1,,,49495.972,294.750,29464,true
tpch1,S_A,"1,2,3,4,5",13,rls_index,1,,,49495.972,1054.564,72424,true
tpch1,S_A,"1,2,3,4,5",22,rls_index,1,,,49495.972,331.578,58352,true
tpch1,S_A,"1,2,3,4,5",1,ours,1,,,12159.894,3343.960,669212,true
tpch1,S_A,"1,2,3,4,5",3,ours,1,,,12159.894,3103.216,676432,true
tpch1,S_A,"1,2,3,4,5",6,ours,1,,,12159.894,2922.291,668880,true
tpch1,S_A,"1,2,3,4,5",10,ours,1,,,12159.894,3258.187,663064,true
tpch1,S_A,"1,2,3,4,5",11,ours,1,,,12159.894,294.493,38340,true
tpch1,S_A,"1,2,3,4,5",13,ours,1,,,12159.894,1054.708,158584,true
tpch1,S_A,"1,2,3,4,5",22,ours,1,,,12159.894,331.822,144600,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",1,rls_index,1,,,50773.711,1747.790,174248,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",3,rls_index,1,,,50773.711,60.573,42744,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",6,rls_index,1,,,50773.711,633.112,149260,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",10,rls_index,1,,,50773.711,1325.704,190260,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",11,rls_index,1,,,50773.711,294.297,29132,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",13,rls_index,1,,,50773.711,30.491,73792,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",22,rls_index,1,,,50773.711,30.368,73768,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",1,ours,1,,,12735.095,3344.247,669212,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",3,ours,1,,,12735.095,3103.630,690264,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",6,ours,1,,,12735.095,2952.587,668872,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",10,ours,1,,,12735.095,3163.320,687352,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",11,ours,1,,,12735.095,296.807,41432,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",13,ours,1,,,12735.095,693.433,163048,true
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",22,ours,1,,,12735.095,693.504,161432,true
tpch1,S_C,"11,12,13,14,15",1,rls_index,1,,,21728.020,15120.852,155484,true
tpch1,S_C,"11,12,13,14,15",3,rls_index,1,,,21728.020,1837.955,151392,true
tpch1,S_C,"11,12,13,14,15",6,rls_index,1,,,21728.020,7108.867,150716,true
tpch1,S_C,"11,12,13,14,15",10,rls_index,1,,,21728.020,5211.880,161212,true
tpch1,S_C,"11,12,13,14,15",11,rls_index,1,,,21728.020,294.655,30020,true
tpch1,S_C,"11,12,13,14,15",13,rls_index,1,,,21728.020,8012.275,162264,true
tpch1,S_C,"11,12,13,14,15",22,rls_index,1,,,21728.020,1114.880,152976,true
tpch1,S_C,"11,12,13,14,15",1,ours,1,,,8566.477,1657.382,700552,true
tpch1,S_C,"11,12,13,14,15",3,ours,1,,,8566.477,1627.302,701700,true
