row_type,db,K,query_id,setup_ms,cold_ms,hot1_ms,hot2_ms,hot3_ms,hot4_ms,hot5_ms,hot_avg_ms,status,error_type,error_msg
setup,tpch,5,__setup__,43095.128,,,,,,,,ok,,
query,tpch,5,1,,2412.183,,,,,,0.000,ok,,
