db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,hash,gt_rows,gt_hash,match_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,sat_ms,sat_models_total,terms_total,single_hub_ms,two_hop_ms,tree_ms,cycle_rect_ms,td_cycle_ms,td_dp_ms,td_reduction_ms,td_msg_pairs,td_peak_pairs,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,bin_rids_scanned_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch0_1,rls_index,S_A,"1,2,3,4,5",1,1,,,121.072,139480,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,TRUE,4273.220,75563008,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_A,"1,2,3,4,5",1,1,,,121.000,136504,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,TRUE,4256.300,75563008,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,ours,S_A,"1,2,3,4,5",1,1,,,2018.602,224120,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,TRUE,2927.355,29131488,true,TID,sparse_tid_row,0.067008,0.961122,1909.621,11.286,6310179,0.299,1922.059,32.376,8.210,1986.226,0,40243,40243,0,40243,0.000,0.000,0.000,0.000,0.000,6.098,40243,40243,14.524,10828,10828,40243,14.524,7.471,14.524,7.471,14.524,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0,0.000,0,0,0,0,1,0,0.000,0,0,0
