db,policy_code,policy_target,query_id,enabled_policy_id,ours_hot_avg_ms,rls_hot_avg_ms,ours_vs_rls_ratio,ours_hot_avg_peak_rss_kb,rls_hot_avg_peak_rss_kb,correctness,status,error_type,error_msg,ours_rows,ours_hash,gt_rows,gt_hash,pf2_cmp_total,pf2_cmp_supported,pf2_cmp_key_arity_max,pf2_cmp_summary_build_ms,pf2_cmp_summary_keys_total,pf2_cmp_checks_total,pf2_cmp_rejects_total,pf2_cmp_witness_witness_total,pf2_cmp_witness_witness_supported,pf2_cmp_filter_rows_checked,pf2_cmp_filter_rows_reject,pf2_cmp_chain_total,pf2_cmp_chain_supported,pf2_cmp_chain_build_ms,pf2_cmp_chain_bridge_rows_scanned,pf2_cmp_chain_compose_steps,pf2_cmp_chain_filter_rows_checked,pf2_cmp_chain_filter_rows_reject,class_route_tree,class_route_cycle_rect,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch1,C1,partsupp,9,1,2561.033,7771.633,0.330,682980,231172,PASS,ok,,,138,c109da15675273a4c6c7e3580f6587c1,138,c109da15675273a4c6c7e3580f6587c1,1,0,2,174.621,4708,12468,12347,1,1,12468,12347,1,1,174.621,168067,4,12468,12347,1,0,0,0,0
tpch1,C2,partsupp,9,3,2561.253,5933.978,0.432,653244,231936,PASS,ok,,,160,5cbfa53244dd56020c0a047f3385554e,160,5cbfa53244dd56020c0a047f3385554e,1,0,2,173.253,4720,12468,12293,1,1,12468,12293,1,1,173.253,169228,4,12468,12293,1,0,0,0,0
