db,policy_code,policy_target,query_id,enabled_policy_id,ours_hot_avg_ms,rls_hot_avg_ms,ours_vs_rls_ratio,ours_hot_avg_peak_rss_kb,rls_hot_avg_peak_rss_kb,correctness,ours_rows,ours_hash,gt_rows,gt_hash,policy_total_ms,project_ms,project_row_ms,pf2_terms_tree,pf2_cmp_total,pf2_cmp_supported,pf2_cmp_key_arity_max,pf2_cmp_summary_build_ms,pf2_cmp_summary_keys_total,pf2_cmp_checks_total,pf2_cmp_rejects_total,pf2_tree_edges,pf2_tree_rows_scanned_total,pf2_tree_update_ms,pf2_project_ms,pf2_total_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters,status,error_type,error_msg
tpch1,P27,lineitem,1,3,11505.838,15601.938,0.737,737992.0,233752.0,PASS,4,c4fa20fc9ae293fda25f1d3f134991af,4,c4fa20fc9ae293fda25f1d3f134991af,1257.175,772.656,771.438,1,1,1,1,94.407,1500000,6001215,137517,2,9001215,279.000,333.964,769.460,0,0,0,ok,,
tpch1,P27,lineitem,6,3,2289.565,5903.427,0.388,734448.0,225648.0,PASS,1,134df7d7782bd6a4d75ffc37613862a8,1,134df7d7782bd6a4d75ffc37613862a8,1262.172,776.629,775.421,1,1,1,1,94.724,1500000,6001215,137517,2,9001215,278.017,334.775,773.422,0,0,0,ok,,
tpch1,P27F,lineitem,6,9,2108.992,6204.625,0.340,742372.0,226808.0,PASS,1,134df7d7782bd6a4d75ffc37613862a8,1,134df7d7782bd6a4d75ffc37613862a8,1120.820,653.923,652.686,1,1,1,1,102.602,729413,2901744,68633,2,9001215,298.216,182.632,650.719,0,0,0,ok,,
tpch1,P26,orders,10,1,1796.464,3425.496,0.524,381536.0,210764.0,PASS,37548,9fcbeaa2a2896d0927df1a4432bec979,37548,9fcbeaa2a2896d0927df1a4432bec979,337.089,210.681,209.482,1,1,1,1,6.020,99996,1500000,12248,2,1749996,76.579,124.656,208.251,0,0,0,ok,,
tpch1,P28,partsupp,11,5,1145.067,2368.817,0.483,156008.0,150236.0,PASS,22542,b32abf1d842b38619dc4099794e6a5c7,22542,b32abf1d842b38619dc4099794e6a5c7,122.819,79.087,77.898,1,1,1,1,11.864,200000,800000,679,2,1200000,38.856,24.331,77.336,0,0,0,ok,,
tpch1,P30,supplier,5,7,934.199,1476.187,0.633,220604.0,190688.0,PASS,5,9a87af99579a43ca5e7a241d426d03c5,5,9a87af99579a43ca5e7a241d426d03c5,23.198,9.201,7.954,1,1,1,1,2.932,25,10000,1,2,310000,3.126,0.248,7.569,0,0,0,ok,,
