row_type,db,K,query_id,setup_ms,cold_ms,hot1_ms,hot2_ms,hot3_ms,hot4_ms,hot5_ms,hot_avg_ms,status,error_type,error_msg
setup,tpch0_1,5,__setup__,4997.581,,,,,,,,ok,,
query,tpch0_1,5,2,,222.951,202.777,,,,,202.777,ok,,
