db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
tpch0_1,rls_index,1,1-5,"1,2,3,4,5",5,4,30,121.488,120.808,TRUE,,1,,,4280.554
tpch0_1,rls_index,3,1-5,"1,2,3,4,5",5,8,0,90.889,61.015,TRUE,,1,,,4280.554
tpch0_1,rls_index,6,1-5,"1,2,3,4,5",5,6,30,60.820,60.530,TRUE,,1,,,4280.554
tpch0_1,sieve_index,1,1-5,"1,2,3,4,5",5,4,30,121.241,120.918,TRUE,,1,,,4253.056
tpch0_1,sieve_index,3,1-5,"1,2,3,4,5",5,8,0,90.870,60.559,TRUE,,1,,,4253.056
tpch0_1,sieve_index,6,1-5,"1,2,3,4,5",5,6,30,60.741,60.709,TRUE,,1,,,4253.056
tpch0_1,rls_index,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,4759.967,4669.387,TRUE,,1,,,3989.778
tpch0_1,rls_index,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,2199.428,2108.640,TRUE,,1,,,3989.778
tpch0_1,rls_index,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,3434.371,3373.688,TRUE,,1,,,3989.778
tpch0_1,sieve_index,1,11-20,"11,12,13,14,15,16,17,18,19,20",10,4,55,2046.064,1925.374,TRUE,,1,,,3976.843
tpch0_1,sieve_index,3,11-20,"11,12,13,14,15,16,17,18,19,20",10,8,58,2439.699,2379.776,TRUE,,1,,,3976.843
tpch0_1,sieve_index,6,11-20,"11,12,13,14,15,16,17,18,19,20",10,6,55,1898.071,1837.521,TRUE,,1,,,3976.843
tpch0_1,rls_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,13,1898.240,1807.495,TRUE,,1,,,4957.237
tpch0_1,rls_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,8,30.861,30.528,TRUE,,1,,,4957.237
tpch0_1,rls_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,13,1386.054,1295.474,TRUE,,1,,,4957.237
tpch0_1,sieve_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,13,573.072,572.576,TRUE,,1,,,4926.152
tpch0_1,sieve_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,8,30.731,30.528,TRUE,,1,,,4926.152
tpch0_1,sieve_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,13,151.033,120.706,TRUE,,1,,,4926.152
