db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,cmp_mode,cmp_first_diff_idx,cmp_first_ours,cmp_first_gt,cmp_rows_file_ours,cmp_rows_file_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,decode_ms,hub_ms,stamp_ms,propagate_ms,sig_ms,project_allowset_ms,prop_build_arcs_ms,prop_ac_ms,prop_scc_ms,prop_context_lookup_ms,prop_context_build_ms,prop_witness_ms,prop_cmp_ms,prop_bin_catalog_ms,prop_base_active_bins_ms,table_bin_catalog_cache_hits,table_bin_catalog_cache_misses,sat_ms,sat_sid_count,sat_check_calls,sat_assumptions_total,sat_avg_assumptions,sat_unique_assignments,sat_cache_hits,sat_nogood_prunes,sat_nogoods_added,sat_subsumed_dropped,sat_core_terms_total,sat_core_terms_max,sat_avg_core_terms,sat_models_total,terms_total,single_hub_ms,two_hop_ms,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch0_1,rls_index,S_A,"1,2,3,4,5",1,1,,,121.022,133144,2,2,TRUE,canonical_multiset,,,,,,4267.978,75563008,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",3,1,,,60.692,141160,311,311,TRUE,canonical_multiset,,,,,,4267.978,75563008,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",6,1,,,60.541,130220,1,1,TRUE,canonical_multiset,,,,,,4267.978,75563008,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",11,1,,,30.484,40896,2753,2753,TRUE,canonical_multiset,,,,,,4267.978,75563008,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",13,1,,,90.620,57400,37,37,TRUE,canonical_multiset,,,,,,4267.978,75563008,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,ours,S_A,"1,2,3,4,5",1,1,,,301.702,191856,2,2,TRUE,canonical_multiset,,,,,,1140.197,9388689,true,FILTER,dense_allow_set,0.067008,0.961122,0,0,0,0,0,0,0,301.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0,0,0
tpch0_1,ours,S_A,"1,2,3,4,5",3,1,,,211.366,209516,311,311,TRUE,canonical_multiset,,,,,,1140.197,9388689,true,FILTER,dense_allow_set,0.067008,0.961122,0,0,0,0,0,0,0,211.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0,0,0
tpch0_1,ours,S_A,"1,2,3,4,5",6,1,,,90.938,193628,1,1,TRUE,canonical_multiset,,,,,,1140.197,9388689,true,FILTER,dense_allow_set,0.067008,0.961122,0,0,0,0,0,0,0,90.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.946,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0,0,0,0.000,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0,0,0
tpch0_1,ours,S_A,"1,2,3,4,5",11,1,,,30.867,49632,2753,2753,TRUE,canonical_multiset,,,,,,1140.197,9388689,true,,,,,0,0,0,0,0,0,0,30.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_A,"1,2,3,4,5",13,1,,,90.801,85788,37,37,TRUE,canonical_multiset,,,,,,1140.197,9388689,true,,,,,0,0,0,0,0,0,0,90.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
