db,policy_id,policy_target,query_id,status,correctness,reason,route_main,route_summary,route_reject_reason,ours_rows,ours_hash,gt_rows,gt_hash,policy_total_ms,pf2_terms_supported,pf2_terms_failed_shape,class_terms_ok,class_terms_reject,class_route_single_hub,class_route_two_hop,class_route_tree,class_route_cycle_rect,class_route_td_cycle,class_route_reject,class_td_terms_supported,class_td_width_max,class_td_fail_width,proj_sig_count,proj_mask_or_ops,proj_rid_iters,hygiene_ok,hygiene_diag
tpch1,1,lineitem,1,ok,PASS,,single_hub,single_hub:2,,3,734fbc0d832cca9145f1130f7ba6d4d6,3,734fbc0d832cca9145f1130f7ba6d4d6,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"[pg_hygiene] connecting db=tpch1
[pg_hygiene] before active_sessions=1 managed_locks=0
[pg_hygiene] activity pid=1138506 state=active wait_type=Timeout wait=VacuumDelay backend_type=autovacuum worker query=autovacuum: VACUUM pg_toast.pg_toast_202821
[pg_hygiene] cleaned
[pg_hygiene] no non-idle backends remaining"
tpch1,1,lineitem,3,ok,PASS,,single_hub,single_hub:2,,11313,9e52402f50f26089a49062bbfaef1534,11313,9e52402f50f26089a49062bbfaef1534,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"[pg_hygiene] connecting db=tpch1
[pg_hygiene] before active_sessions=1 managed_locks=0
[pg_hygiene] activity pid=1138506 state=active wait_type=Timeout wait=VacuumDelay backend_type=autovacuum worker query=autovacuum: VACUUM pg_toast.pg_toast_202821
[pg_hygiene] cleaned
[pg_hygiene] no non-idle backends remaining"
tpch1,1,lineitem,6,ok,PASS,,single_hub,single_hub:2,,1,a48343de54b0874914799f71b8d6459a,1,a48343de54b0874914799f71b8d6459a,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"[pg_hygiene] connecting db=tpch1
[pg_hygiene] before active_sessions=1 managed_locks=0
[pg_hygiene] activity pid=1138506 state=active wait_type=Timeout wait=VacuumDelay backend_type=autovacuum worker query=autovacuum: VACUUM pg_toast.pg_toast_202821
[pg_hygiene] cleaned
[pg_hygiene] no non-idle backends remaining"
