db,policy_set,policy_ids,query_id,status,error_type,error_msg,hub_ms,stamp_ms,propagate_ms,bin_ms,sig_ms,sat_ms,decode_ms,filter_ms,policy_profile_query_line,policy_profile_line
tpch0_1,S_A,"1,2,3,4,5",1,1,,,1.004,0.000,0.001,1.856,58.922,195.635,14.766,32.485,policy_profile_query: artifact_parse_ms=0.963 decode_ms=14.766 build_hubs_ms=0.041 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=58.922 sat_ms=195.635 project_allowset_ms=1.856 hub_ms=1.004 stamp_ms=0.000 propagate_ms=0.001 bin_ms=1.856 sig_ms=58.922,policy_profile: scan_filter_ms=32.485 filter_ms=32.485
tpch0_1,S_A,"1,2,3,4,5",3,1,,,0.982,0.000,0.001,1.737,59.024,196.202,14.573,20.416,policy_profile_query: artifact_parse_ms=0.950 decode_ms=14.573 build_hubs_ms=0.032 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=59.024 sat_ms=196.202 project_allowset_ms=1.737 hub_ms=0.982 stamp_ms=0.000 propagate_ms=0.001 bin_ms=1.737 sig_ms=59.024,policy_profile: scan_filter_ms=20.416 filter_ms=20.416
tpch0_1,S_A,"1,2,3,4,5",6,1,,,17.576,0.000,0.001,1.819,59.008,194.238,12.867,21.863,policy_profile_query: artifact_parse_ms=0.942 decode_ms=12.867 build_hubs_ms=16.633 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=59.008 sat_ms=194.238 project_allowset_ms=1.819 hub_ms=17.576 stamp_ms=0.000 propagate_ms=0.001 bin_ms=1.819 sig_ms=59.008,policy_profile: scan_filter_ms=21.863 filter_ms=21.863
tpch0_1,S_A,"1,2,3,4,5",10,1,,,5.592,0.000,0.001,1.887,59.229,194.829,12.911,26.880,policy_profile_query: artifact_parse_ms=0.948 decode_ms=12.911 build_hubs_ms=4.644 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=59.229 sat_ms=194.829 project_allowset_ms=1.887 hub_ms=5.592 stamp_ms=0.000 propagate_ms=0.001 bin_ms=1.887 sig_ms=59.229,policy_profile: scan_filter_ms=26.880 filter_ms=26.880
tpch0_1,S_A,"1,2,3,4,5",11,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_A,"1,2,3,4,5",13,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_A,"1,2,3,4,5",22,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,1,,,1.025,0.000,0.001,1.799,59.269,195.682,14.276,32.735,policy_profile_query: artifact_parse_ms=0.955 decode_ms=14.276 build_hubs_ms=0.070 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=59.269 sat_ms=195.682 project_allowset_ms=1.799 hub_ms=1.025 stamp_ms=0.000 propagate_ms=0.001 bin_ms=1.799 sig_ms=59.269,policy_profile: scan_filter_ms=32.735 filter_ms=32.735
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,1,,,1.933,0.000,0.001,2.138,59.772,223.818,12.586,0.000,policy_profile_query: artifact_parse_ms=1.688 decode_ms=12.586 build_hubs_ms=0.245 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=59.772 sat_ms=223.818 project_allowset_ms=2.138 hub_ms=1.933 stamp_ms=0.000 propagate_ms=0.001 bin_ms=2.138 sig_ms=59.772,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,1,,,17.232,0.000,0.001,1.756,59.010,194.012,12.877,21.971,policy_profile_query: artifact_parse_ms=0.947 decode_ms=12.877 build_hubs_ms=16.285 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=59.010 sat_ms=194.012 project_allowset_ms=1.756 hub_ms=17.232 stamp_ms=0.000 propagate_ms=0.001 bin_ms=1.756 sig_ms=59.010,policy_profile: scan_filter_ms=21.971 filter_ms=21.971
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,1,,,6.259,0.000,0.001,1.881,59.422,223.721,12.812,0.000,policy_profile_query: artifact_parse_ms=1.654 decode_ms=12.812 build_hubs_ms=4.605 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=59.422 sat_ms=223.721 project_allowset_ms=1.881 hub_ms=6.259 stamp_ms=0.000 propagate_ms=0.001 bin_ms=1.881 sig_ms=59.422,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,1,,,0.036,0.000,0.000,0.018,1.192,28.393,0.538,0.014,policy_profile_query: artifact_parse_ms=0.032 decode_ms=0.538 build_hubs_ms=0.004 composite_stamp_ms=0.000 build_context_ms=0.000 signature_build_ms=1.192 sat_ms=28.393 project_allowset_ms=0.018 hub_ms=0.036 stamp_ms=0.000 propagate_ms=0.000 bin_ms=0.018 sig_ms=1.192,policy_profile: scan_filter_ms=0.014 filter_ms=0.014
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,1,,,0.037,0.000,0.001,0.018,1.187,28.271,0.536,0.011,policy_profile_query: artifact_parse_ms=0.033 decode_ms=0.536 build_hubs_ms=0.004 composite_stamp_ms=0.000 build_context_ms=0.001 signature_build_ms=1.187 sat_ms=28.271 project_allowset_ms=0.018 hub_ms=0.037 stamp_ms=0.000 propagate_ms=0.001 bin_ms=0.018 sig_ms=1.187,policy_profile: scan_filter_ms=0.011 filter_ms=0.011
tpch0_1,S_C,"11,12,13,14,15",1,1,,,56.968,0.000,37.788,0.869,23.455,3.410,8.637,0.000,policy_profile_query: artifact_parse_ms=1.216 decode_ms=8.637 build_hubs_ms=55.752 composite_stamp_ms=0.000 build_context_ms=37.788 signature_build_ms=23.455 sat_ms=3.410 project_allowset_ms=0.869 hub_ms=56.968 stamp_ms=0.000 propagate_ms=37.788 bin_ms=0.869 sig_ms=23.455,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_C,"11,12,13,14,15",3,1,,,57.241,0.000,38.752,0.873,23.355,3.434,8.858,0.000,policy_profile_query: artifact_parse_ms=1.215 decode_ms=8.858 build_hubs_ms=56.026 composite_stamp_ms=0.000 build_context_ms=38.752 signature_build_ms=23.355 sat_ms=3.434 project_allowset_ms=0.873 hub_ms=57.241 stamp_ms=0.000 propagate_ms=38.752 bin_ms=0.873 sig_ms=23.355,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
tpch0_1,S_C,"11,12,13,14,15",6,1,,,57.223,0.000,36.529,0.874,23.586,3.397,8.777,0.000,policy_profile_query: artifact_parse_ms=1.203 decode_ms=8.777 build_hubs_ms=56.020 composite_stamp_ms=0.000 build_context_ms=36.529 signature_build_ms=23.586 sat_ms=3.397 project_allowset_ms=0.874 hub_ms=57.223 stamp_ms=0.000 propagate_ms=36.529 bin_ms=0.874 sig_ms=23.586,policy_profile: scan_filter_ms=0.000 filter_ms=0.000
