db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,baseline_rows,rls_index_rows,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
postgres,no_policy,1,S_A,"1,2,3,4,5",5,4,30,30.838,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""lineitem"" does not exist LINE 1: ...scount) as avg_disc, count(*) as count_order from lineitem w...                                                              ^",0.000
postgres,no_policy,2,S_A,"1,2,3,4,5",5,15,0,30.551,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""part"" does not exist LINE 1: ...rtkey, p_mfgr, s_address, s_phone, s_comment from part, supp...                                                              ^",0.000
postgres,no_policy,3,S_A,"1,2,3,4,5",5,8,0,30.605,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""customer"" does not exist LINE 1: ...nt)) as revenue, o_orderdate, o_shippriority from customer, ...                                                              ^",0.000
postgres,no_policy,4,S_A,"1,2,3,4,5",5,9,30,30.720,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""orders"" does not exist LINE 1: ...ect o_orderpriority, count(*) as order_count from orders whe...                                                              ^",0.000
postgres,no_policy,5,S_A,"1,2,3,4,5",5,12,0,30.563,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""customer"" does not exist LINE 1: ...extendedprice * (1 - l_discount)) as revenue from customer, ...                                                              ^",0.000
postgres,no_policy,6,S_A,"1,2,3,4,5",5,6,30,30.552,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""lineitem"" does not exist LINE 1: ...sum(l_extendedprice * l_discount) as revenue from lineitem w...                                                              ^",0.000
postgres,no_policy,7,S_A,"1,2,3,4,5",5,15,0,30.567,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""supplier"" does not exist LINE 1: ...l_extendedprice * (1 - l_discount) as volume from supplier, ...                                                              ^",0.000
postgres,no_policy,8,S_A,"1,2,3,4,5",5,15,0,30.603,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""part"" does not exist LINE 1: ...- l_discount) as volume, n2.n_name as nation from part, supp...                                                              ^",0.000
postgres,no_policy,9,S_A,"1,2,3,4,5",5,11,0,30.541,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""part"" does not exist LINE 1: ...ount) - ps_supplycost * l_quantity as amount from part, supp...                                                              ^",0.000
postgres,no_policy,10,S_A,"1,2,3,4,5",5,9,0,30.543,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""customer"" does not exist LINE 1: ...ctbal, n_name, c_address, c_phone, c_comment from customer, ...                                                              ^",0.000
postgres,no_policy,11,S_A,"1,2,3,4,5",5,9,0,30.543,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""partsupp"" does not exist LINE 1: ...y, sum(ps_supplycost * ps_availqty) as value from partsupp, ...                                                              ^",0.000
postgres,no_policy,12,S_A,"1,2,3,4,5",5,11,0,30.547,,UNKNOWN,,,,0,db_error,"ERROR:  relation ""orders"" does not exist LINE 1: ...2-HIGH' then 1 else 0 end) as low_line_count from orders, li...                                                              ^",0.000
