db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,target_rid_bitmap_bytes,signature_cache_bytes,active_sig_dense_count,active_sig_sparse_count,active_sig_density_sum,domain_set_dense_count,domain_set_sparse_count,domain_set_density_sum,block_words_blocks_allocated,block_words_total_blocks,proj_sig_count,proj_mask_or_ops,proj_rid_iters,bytes_sig_ctid_masks,bytes_block_words,bytes_artifact_buffers_retained,bytes_decoded_buffers_retained,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,blocks_seen,blocks_skipped,block_skip_hit_rate,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch1,1,1,ours,1,ok,,,0.168,102.361,402.714,0.000,2946.944,48009937,7653060,0,28750975,2,0,1.000000,2,0,2.000000,112545,112555,4,365041,0,4746047,7653060,0,0,0,0,6001197,2996217,0,112555,10,0.000089,408736,2,1,eval_ms=0.168 artifact_load_ms=102.361 artifact_parse_ms=191.460 atoms_ms=0.011 propagate_ms=0.000 project_ms=182.643 project_mask_ms=0.000 project_row_ms=181.485 project_mask_bytes=0 project_n_join_evals_max=2 project_clause_words_max=1 clause_plan_count_max=2 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=1 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=28750975 active_sig_dense_count=2 active_sig_sparse_count=0 active_sig_density_sum=1.000000 domain_set_dense_count=2 domain_set_sparse_count=0 domain_set_density_sum=2.000000 block_words_blocks_allocated=112545 block_words_total_blocks=112555 proj_sig_count=4 proj_mask_or_ops=365041 proj_rid_iters=0 bytes_sig_ctid_masks=4746047 bytes_block_words=7653060 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=12.674 policy_total_ms=402.714 ctid_map_ms=0.000 filter_ms=2946.944 child_exec_ms=864.458 ctid_extract_ms=843.094 ctid_to_rid_ms=0.000 allow_check_ms=140.804 projection_ms=388.839 blocks_seen=112555 blocks_skipped=10 block_skip_hit_rate=0.000089 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=48009937 bytes_allow=7653060 bytes_ctid=0 bytes_blk_index=0 rows_seen=6001197 rows_passed=2996217 ctid_misses=0 rss_kb_before_eval=72940 rss_kb_after_eval=72940 rss_kb_after_load=178336 rss_kb_after_engine=358728 rss_kb_after_ctid=359240 rss_kb_end=408736 peak_rss_kb_end=408736
tpch1,1,1,ours,3,ok,,,0.175,102.803,401.101,0.000,1562.166,48009937,7653060,0,28750975,2,0,1.000000,2,0,2.000000,112545,112555,4,365041,0,4746047,7653060,0,0,0,0,3226661,221663,0,112549,10,0.000089,430176,2,1,eval_ms=0.175 artifact_load_ms=102.803 artifact_parse_ms=190.851 atoms_ms=0.011 propagate_ms=0.000 project_ms=181.703 project_mask_ms=0.000 project_row_ms=180.496 project_mask_bytes=0 project_n_join_evals_max=2 project_clause_words_max=1 clause_plan_count_max=2 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=1 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=28750975 active_sig_dense_count=2 active_sig_sparse_count=0 active_sig_density_sum=1.000000 domain_set_dense_count=2 domain_set_sparse_count=0 domain_set_density_sum=2.000000 block_words_blocks_allocated=112545 block_words_total_blocks=112555 proj_sig_count=4 proj_mask_or_ops=365041 proj_rid_iters=0 bytes_sig_ctid_masks=4746047 bytes_block_words=7653060 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=12.739 policy_total_ms=401.101 ctid_map_ms=0.000 filter_ms=1562.166 child_exec_ms=765.467 ctid_extract_ms=382.660 ctid_to_rid_ms=0.000 allow_check_ms=79.875 projection_ms=25.389 blocks_seen=112549 blocks_skipped=10 block_skip_hit_rate=0.000089 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=48009937 bytes_allow=7653060 bytes_ctid=0 bytes_blk_index=0 rows_seen=3226661 rows_passed=221663 ctid_misses=0 rss_kb_before_eval=74092 rss_kb_after_eval=74092 rss_kb_after_load=179028 rss_kb_after_engine=359948 rss_kb_after_ctid=359948 rss_kb_end=430176 peak_rss_kb_end=430176
tpch1,1,1,ours,5,ok,,,0.172,102.471,402.603,0.000,2609.871,48009937,7653060,0,28750975,2,0,1.000000,2,0,2.000000,112545,112555,4,365041,0,4746047,7653060,0,0,0,0,6001215,2996217,0,112555,10,0.000089,431944,2,1,eval_ms=0.172 artifact_load_ms=102.471 artifact_parse_ms=192.432 atoms_ms=0.010 propagate_ms=0.000 project_ms=181.454 project_mask_ms=0.000 project_row_ms=180.290 project_mask_bytes=0 project_n_join_evals_max=2 project_clause_words_max=1 clause_plan_count_max=2 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=1 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=28750975 active_sig_dense_count=2 active_sig_sparse_count=0 active_sig_density_sum=1.000000 domain_set_dense_count=2 domain_set_sparse_count=0 domain_set_density_sum=2.000000 block_words_blocks_allocated=112545 block_words_total_blocks=112555 proj_sig_count=4 proj_mask_or_ops=365041 proj_rid_iters=0 bytes_sig_ctid_masks=4746047 bytes_block_words=7653060 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=11.948 policy_total_ms=402.603 ctid_map_ms=0.000 filter_ms=2609.871 child_exec_ms=654.303 ctid_extract_ms=757.200 ctid_to_rid_ms=0.000 allow_check_ms=139.542 projection_ms=355.518 blocks_seen=112555 blocks_skipped=10 block_skip_hit_rate=0.000089 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=48009937 bytes_allow=7653060 bytes_ctid=0 bytes_blk_index=0 rows_seen=6001215 rows_passed=2996217 ctid_misses=0 rss_kb_before_eval=73960 rss_kb_after_eval=73960 rss_kb_after_load=179348 rss_kb_after_engine=359088 rss_kb_after_ctid=359088 rss_kb_end=431944 peak_rss_kb_end=431944
tpch1,1,1,ours,6,ok,,,0.176,102.522,401.748,0.000,801.752,48009937,7653060,0,28750975,2,0,1.000000,2,0,2.000000,112545,112555,4,365041,0,4746047,7653060,0,0,0,0,114238,114238,0,64823,0,0.000000,410996,2,1,eval_ms=0.176 artifact_load_ms=102.522 artifact_parse_ms=191.453 atoms_ms=0.010 propagate_ms=0.000 project_ms=181.510 project_mask_ms=0.000 project_row_ms=180.335 project_mask_bytes=0 project_n_join_evals_max=2 project_clause_words_max=1 clause_plan_count_max=2 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=1 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=28750975 active_sig_dense_count=2 active_sig_sparse_count=0 active_sig_density_sum=1.000000 domain_set_dense_count=2 domain_set_sparse_count=0 domain_set_density_sum=2.000000 block_words_blocks_allocated=112545 block_words_total_blocks=112555 proj_sig_count=4 proj_mask_or_ops=365041 proj_rid_iters=0 bytes_sig_ctid_masks=4746047 bytes_block_words=7653060 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=12.679 policy_total_ms=401.748 ctid_map_ms=0.000 filter_ms=801.752 child_exec_ms=749.651 ctid_extract_ms=13.809 ctid_to_rid_ms=0.000 allow_check_ms=8.236 projection_ms=12.709 blocks_seen=64823 blocks_skipped=0 block_skip_hit_rate=0.000000 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=48009937 bytes_allow=7653060 bytes_ctid=0 bytes_blk_index=0 rows_seen=114238 rows_passed=114238 ctid_misses=0 rss_kb_before_eval=72104 rss_kb_after_eval=72104 rss_kb_after_load=177712 rss_kb_after_engine=358624 rss_kb_after_ctid=359136 rss_kb_end=410996 peak_rss_kb_end=410996
tpch1,1,1,ours,9,ok,,,0.175,102.040,404.353,0.000,2807.053,48009937,7653060,0,28750975,2,0,1.000000,2,0,2.000000,112545,112555,4,365041,0,4746047,7653060,0,0,0,0,6001215,2996217,0,112555,10,0.000089,372520,2,1,eval_ms=0.175 artifact_load_ms=102.040 artifact_parse_ms=193.435 atoms_ms=0.011 propagate_ms=0.000 project_ms=181.952 project_mask_ms=0.000 project_row_ms=180.783 project_mask_bytes=0 project_n_join_evals_max=2 project_clause_words_max=1 clause_plan_count_max=2 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=1 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=28750975 active_sig_dense_count=2 active_sig_sparse_count=0 active_sig_density_sum=1.000000 domain_set_dense_count=2 domain_set_sparse_count=0 domain_set_density_sum=2.000000 block_words_blocks_allocated=112545 block_words_total_blocks=112555 proj_sig_count=4 proj_mask_or_ops=365041 proj_rid_iters=0 bytes_sig_ctid_masks=4746047 bytes_block_words=7653060 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=11.917 policy_total_ms=404.353 ctid_map_ms=0.000 filter_ms=2807.053 child_exec_ms=673.247 ctid_extract_ms=878.038 ctid_to_rid_ms=0.000 allow_check_ms=141.395 projection_ms=409.077 blocks_seen=112555 blocks_skipped=10 block_skip_hit_rate=0.000089 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=48009937 bytes_allow=7653060 bytes_ctid=0 bytes_blk_index=0 rows_seen=6001215 rows_passed=2996217 ctid_misses=0 rss_kb_before_eval=74984 rss_kb_after_eval=74984 rss_kb_after_load=179996 rss_kb_after_engine=359220 rss_kb_after_ctid=359220 rss_kb_end=370012 peak_rss_kb_end=372520
tpch1,1,1,ours,10,ok,,,0.169,102.108,402.555,0.000,1345.300,48009937,7653060,0,28750975,2,0,1.000000,2,0,2.000000,112545,112555,4,365041,0,4746047,7653060,0,0,0,0,1478870,1478870,0,112503,0,0.000000,432476,2,1,eval_ms=0.169 artifact_load_ms=102.108 artifact_parse_ms=191.593 atoms_ms=0.010 propagate_ms=0.000 project_ms=182.146 project_mask_ms=0.000 project_row_ms=180.974 project_mask_bytes=0 project_n_join_evals_max=2 project_clause_words_max=1 clause_plan_count_max=2 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=1 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=28750975 active_sig_dense_count=2 active_sig_sparse_count=0 active_sig_density_sum=1.000000 domain_set_dense_count=2 domain_set_sparse_count=0 domain_set_density_sum=2.000000 block_words_blocks_allocated=112545 block_words_total_blocks=112555 proj_sig_count=4 proj_mask_or_ops=365041 proj_rid_iters=0 bytes_sig_ctid_masks=4746047 bytes_block_words=7653060 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=12.790 policy_total_ms=402.555 ctid_map_ms=0.000 filter_ms=1345.300 child_exec_ms=742.900 ctid_extract_ms=178.551 ctid_to_rid_ms=0.000 allow_check_ms=41.978 projection_ms=164.420 blocks_seen=112503 blocks_skipped=0 block_skip_hit_rate=0.000000 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=48009937 bytes_allow=7653060 bytes_ctid=0 bytes_blk_index=0 rows_seen=1478870 rows_passed=1478870 ctid_misses=0 rss_kb_before_eval=74472 rss_kb_after_eval=74472 rss_kb_after_load=179052 rss_kb_after_engine=359424 rss_kb_after_ctid=359936 rss_kb_end=432476 peak_rss_kb_end=432476
tpch1,5,"1,2,3,4,5",ours,1,ok,,,0.655,135.907,10159.627,0.000,2418.572,58781239,7336928,0,341989887,12,3,1.344332,45,0,45.000000,107896,112555,8064956,8066832,0,102012715,7336928,0,0,0,0,6001197,401698,0,112555,4659,0.041393,1469912,2,1,eval_ms=0.655 artifact_load_ms=135.907 artifact_parse_ms=789.857 atoms_ms=0.069 propagate_ms=0.000 project_ms=9255.695 project_mask_ms=0.000 project_row_ms=9251.488 project_mask_bytes=0 project_n_join_evals_max=4 project_clause_words_max=1 clause_plan_count_max=21 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=14 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=341989887 active_sig_dense_count=12 active_sig_sparse_count=3 active_sig_density_sum=1.344332 domain_set_dense_count=45 domain_set_sparse_count=0 domain_set_density_sum=45.000000 block_words_blocks_allocated=107896 block_words_total_blocks=112555 proj_sig_count=8064956 proj_mask_or_ops=8066832 proj_rid_iters=0 bytes_sig_ctid_masks=102012715 bytes_block_words=7336928 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=10.674 policy_total_ms=10159.627 ctid_map_ms=0.000 filter_ms=2418.572 child_exec_ms=832.733 ctid_extract_ms=821.979 ctid_to_rid_ms=0.000 allow_check_ms=141.988 projection_ms=52.781 blocks_seen=112555 blocks_skipped=4659 block_skip_hit_rate=0.041393 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=58781239 bytes_allow=7336928 bytes_ctid=0 bytes_blk_index=0 rows_seen=6001197 rows_passed=401698 ctid_misses=0 rss_kb_before_eval=71404 rss_kb_after_eval=71916 rss_kb_after_load=170260 rss_kb_after_engine=1087368 rss_kb_after_ctid=1087368 rss_kb_end=1151200 peak_rss_kb_end=1469912
tpch1,5,"1,2,3,4,5",ours,3,ok,,,0.651,136.585,10112.727,0.000,1527.267,58781239,7336928,0,341989887,12,3,1.344332,45,0,45.000000,107896,112555,8064956,8066832,0,102012715,7336928,0,0,0,0,3226661,25163,0,112549,4659,0.041395,1471284,2,1,eval_ms=0.651 artifact_load_ms=136.585 artifact_parse_ms=802.576 atoms_ms=0.067 propagate_ms=0.000 project_ms=9197.315 project_mask_ms=0.000 project_row_ms=9193.125 project_mask_bytes=0 project_n_join_evals_max=4 project_clause_words_max=1 clause_plan_count_max=21 prop_join_scans_total=0 unique_join_struct_sigs_max=1 prop_table_scans=none signature_cache_hits=14 signature_cache_misses=1 term_code_scans=1 target_full_row_scans=0 target_rid_bitmap_bytes=0 signature_cache_bytes=341989887 active_sig_dense_count=12 active_sig_sparse_count=3 active_sig_density_sum=1.344332 domain_set_dense_count=45 domain_set_sparse_count=0 domain_set_density_sum=45.000000 block_words_blocks_allocated=107896 block_words_total_blocks=112555 proj_sig_count=8064956 proj_mask_or_ops=8066832 proj_rid_iters=0 bytes_sig_ctid_masks=102012715 bytes_block_words=7336928 bytes_artifact_buffers_retained=0 bytes_decoded_buffers_retained=0 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=10.320 policy_total_ms=10112.727 ctid_map_ms=0.000 filter_ms=1527.267 child_exec_ms=764.052 ctid_extract_ms=382.199 ctid_to_rid_ms=0.000 allow_check_ms=80.146 projection_ms=3.036 blocks_seen=112549 blocks_skipped=4659 block_skip_hit_rate=0.041395 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=58781239 bytes_allow=7336928 bytes_ctid=0 bytes_blk_index=0 rows_seen=3226661 rows_passed=25163 ctid_misses=0 rss_kb_before_eval=73148 rss_kb_after_eval=73148 rss_kb_after_load=171716 rss_kb_after_engine=1088696 rss_kb_after_ctid=1088696 rss_kb_end=1158276 peak_rss_kb_end=1471284
