db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,ok,,,1.228,207.520,4779.504,0.000,2333.538,82941847,7203520,0,0,6001197,16846,0,1112612,2,1,eval_ms=1.228 artifact_load_ms=207.520 artifact_parse_ms=1940.887 atoms_ms=0.152 propagate_ms=264.218 project_ms=2806.729 project_mask_ms=0.000 project_row_ms=2805.594 project_mask_bytes=0 project_n_join_evals_max=8 project_clause_words_max=1 clause_plan_count_max=30 prop_join_scans_total=70 unique_join_struct_sigs_max=7 prop_table_scans=orders:30|nation:18|customer:14|supplier:8 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=264.218 prop_iters=48 decode_ms=24.098 policy_total_ms=4779.504 ctid_map_ms=0.000 filter_ms=2333.538 child_exec_ms=821.021 ctid_extract_ms=827.694 ctid_to_rid_ms=0.000 allow_check_ms=135.086 projection_ms=2.119 n_scanned_tables=1 n_policy_targets=2 n_filters=1 bytes_artifacts_loaded=82941847 bytes_allow=7203520 bytes_ctid=0 bytes_blk_index=0 rows_seen=6001197 rows_passed=16846 ctid_misses=0 rss_kb_before_eval=71300 rss_kb_after_eval=71812 rss_kb_after_load=215060 rss_kb_after_engine=1067104 rss_kb_after_ctid=1067104 rss_kb_end=625252 peak_rss_kb_end=1112612
tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,6,ok,,,1.155,209.941,4789.444,0.000,776.239,82941847,7203520,0,0,114238,2013,0,1111372,2,1,eval_ms=1.155 artifact_load_ms=209.941 artifact_parse_ms=1947.854 atoms_ms=0.160 propagate_ms=264.312 project_ms=2809.824 project_mask_ms=0.000 project_row_ms=2808.684 project_mask_bytes=0 project_n_join_evals_max=8 project_clause_words_max=1 clause_plan_count_max=30 prop_join_scans_total=70 unique_join_struct_sigs_max=7 prop_table_scans=orders:30|nation:18|customer:14|supplier:8 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 fill_ms=0.000 prop_ms=264.312 prop_iters=48 decode_ms=24.053 policy_total_ms=4789.444 ctid_map_ms=0.000 filter_ms=776.239 child_exec_ms=747.855 ctid_extract_ms=13.847 ctid_to_rid_ms=0.000 allow_check_ms=3.186 projection_ms=0.262 n_scanned_tables=1 n_policy_targets=2 n_filters=1 bytes_artifacts_loaded=82941847 bytes_allow=7203520 bytes_ctid=0 bytes_blk_index=0 rows_seen=114238 rows_passed=2013 ctid_misses=0 rss_kb_before_eval=70796 rss_kb_after_eval=70796 rss_kb_after_load=212056 rss_kb_after_engine=1066040 rss_kb_after_ctid=1066040 rss_kb_end=624116 peak_rss_kb_end=1111372
