db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_01,1,1,ours,11,ok,,,0.065,0.000,0.000,0.000,4.881,0,0,0,0,16202,16202,0,29500,2,1,eval_ms=0.065 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=4.881 child_exec_ms=1.696 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=1.524 n_scanned_tables=3 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=16202 rows_passed=16202 ctid_misses=0 rss_kb_before_eval=27452 rss_kb_after_eval=27452 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=29500 peak_rss_kb_end=29500
tpch0_01,1,1,ours,12,ok,,,0.130,2.328,7.049,0.390,14.881,1083245,7522,481400,158770,15318,15318,0,51936,2,1,eval_ms=0.130 artifact_load_ms=2.328 artifact_parse_ms=1.088 stamp_ms=1.606 bin_ms=0.636 local_sat_ms=0.294 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.049 ctid_map_ms=0.390 filter_ms=14.881 child_exec_ms=12.052 ctid_extract_ms=0.047 ctid_to_rid_ms=0.023 allow_check_ms=0.008 projection_ms=1.294 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=15318 rows_passed=15318 ctid_misses=0 rss_kb_before_eval=27452 rss_kb_after_eval=27452 rss_kb_after_load=28988 rss_kb_after_engine=39096 rss_kb_after_ctid=39096 rss_kb_end=51936 peak_rss_kb_end=51936
tpch0_01,1,1,ours,13,ok,,,0.083,0.000,0.000,0.000,8.892,0,0,0,0,16324,16324,0,29532,2,1,eval_ms=0.083 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=8.892 child_exec_ms=5.739 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=1.498 n_scanned_tables=2 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=16324 rows_passed=16324 ctid_misses=0 rss_kb_before_eval=26972 rss_kb_after_eval=26972 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=29532 peak_rss_kb_end=29532
tpch0_01,1,1,ours,14,ok,,,0.128,2.389,7.248,0.394,7.675,1083245,7522,481400,158770,2742,2742,0,50412,2,1,eval_ms=0.128 artifact_load_ms=2.389 artifact_parse_ms=1.131 stamp_ms=1.672 bin_ms=0.637 local_sat_ms=0.306 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.248 ctid_map_ms=0.394 filter_ms=7.675 child_exec_ms=6.795 ctid_extract_ms=0.115 ctid_to_rid_ms=0.039 allow_check_ms=0.023 projection_ms=0.348 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=2742 rows_passed=2742 ctid_misses=0 rss_kb_before_eval=27452 rss_kb_after_eval=27452 rss_kb_after_load=28988 rss_kb_after_engine=39108 rss_kb_after_ctid=39108 rss_kb_end=50412 peak_rss_kb_end=50412
tpch0_01,1,1,ours,15,ok,,,0.131,2.343,7.322,0.391,7.130,1083245,7522,481400,158770,2427,100,0,50508,2,1,eval_ms=0.131 artifact_load_ms=2.343 artifact_parse_ms=1.101 stamp_ms=1.761 bin_ms=0.641 local_sat_ms=0.302 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.322 ctid_map_ms=0.391 filter_ms=7.130 child_exec_ms=6.327 ctid_extract_ms=0.325 ctid_to_rid_ms=0.070 allow_check_ms=0.057 projection_ms=0.017 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=2427 rows_passed=100 ctid_misses=0 rss_kb_before_eval=29660 rss_kb_after_eval=29660 rss_kb_after_load=30684 rss_kb_after_engine=40424 rss_kb_after_ctid=40424 rss_kb_end=50508 peak_rss_kb_end=50508
tpch0_01,1,1,ours,16,ok,,,0.064,0.000,0.000,0.000,3.007,0,0,0,0,8285,8285,0,29532,2,1,eval_ms=0.064 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=3.007 child_exec_ms=1.450 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.733 n_scanned_tables=3 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=8285 rows_passed=8285 ctid_misses=0 rss_kb_before_eval=27484 rss_kb_after_eval=27484 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=29532 peak_rss_kb_end=29532
tpch0_01,1,1,ours,17,ok,,,0.172,2.311,6.161,0.301,82.346,1083245,7522,481400,158770,60839,30416,0,102444,2,1,eval_ms=0.172 artifact_load_ms=2.311 artifact_parse_ms=0.960 stamp_ms=1.390 bin_ms=0.536 local_sat_ms=0.279 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.161 ctid_map_ms=0.301 filter_ms=82.346 child_exec_ms=60.158 ctid_extract_ms=7.039 ctid_to_rid_ms=1.470 allow_check_ms=1.348 projection_ms=3.289 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=60839 rows_passed=30416 ctid_misses=0 rss_kb_before_eval=71636 rss_kb_after_eval=71636 rss_kb_after_load=73692 rss_kb_after_engine=83800 rss_kb_after_ctid=83800 rss_kb_end=102444 peak_rss_kb_end=102444
tpch0_01,1,1,ours,18,ok,,,0.141,2.203,7.061,0.394,24.124,1083245,7522,481400,158770,61684,31628,0,52512,2,1,eval_ms=0.141 artifact_load_ms=2.203 artifact_parse_ms=1.101 stamp_ms=1.666 bin_ms=0.607 local_sat_ms=0.309 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.061 ctid_map_ms=0.394 filter_ms=24.124 child_exec_ms=5.651 ctid_extract_ms=4.031 ctid_to_rid_ms=1.450 allow_check_ms=1.353 projection_ms=2.242 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=61684 rows_passed=31628 ctid_misses=0 rss_kb_before_eval=27996 rss_kb_after_eval=27996 rss_kb_after_load=29540 rss_kb_after_engine=39712 rss_kb_after_ctid=39712 rss_kb_end=52512 peak_rss_kb_end=52512
tpch0_01,1,1,ours,19,ok,,,0.129,2.374,7.245,0.348,11.855,1083245,7522,481400,158770,1205,599,0,50540,2,1,eval_ms=0.129 artifact_load_ms=2.374 artifact_parse_ms=1.105 stamp_ms=1.705 bin_ms=0.639 local_sat_ms=0.306 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.245 ctid_map_ms=0.348 filter_ms=11.855 child_exec_ms=11.311 ctid_extract_ms=0.176 ctid_to_rid_ms=0.051 allow_check_ms=0.029 projection_ms=0.083 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=1205 rows_passed=599 ctid_misses=0 rss_kb_before_eval=27452 rss_kb_after_eval=27452 rss_kb_after_load=28996 rss_kb_after_engine=39244 rss_kb_after_ctid=39244 rss_kb_end=50540 peak_rss_kb_end=50540
tpch0_01,1,1,ours,21,ok,,,0.140,2.478,7.261,0.387,662.174,1083245,7522,481400,158770,1748599,935687,0,51760,2,1,eval_ms=0.140 artifact_load_ms=2.478 artifact_parse_ms=1.128 stamp_ms=1.686 bin_ms=0.639 local_sat_ms=0.309 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.261 ctid_map_ms=0.387 filter_ms=662.174 child_exec_ms=156.276 ctid_extract_ms=118.574 ctid_to_rid_ms=37.484 allow_check_ms=35.474 projection_ms=63.604 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=1748599 rows_passed=935687 ctid_misses=0 rss_kb_before_eval=27484 rss_kb_after_eval=27484 rss_kb_after_load=29532 rss_kb_after_engine=39820 rss_kb_after_ctid=39820 rss_kb_end=51760 peak_rss_kb_end=51760
tpch0_01,1,1,ours,22,ok,,,0.074,0.000,0.000,0.000,6.017,0,0,0,0,15569,15569,0,30044,2,1,eval_ms=0.074 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=6.017 child_exec_ms=3.392 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=1.104 n_scanned_tables=2 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=15569 rows_passed=15569 ctid_misses=0 rss_kb_before_eval=27484 rss_kb_after_eval=27484 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=30044 peak_rss_kb_end=30044
tpch0_01,5,"1,2,3,4,5",ours,1,ok,,,0.537,8.013,383.588,0.282,26.910,2954313,7522,481400,158770,60175,4097,0,51556,2,1,eval_ms=0.537 artifact_load_ms=8.013 artifact_parse_ms=4.366 stamp_ms=19.028 bin_ms=0.624 local_sat_ms=94.378 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=383.588 ctid_map_ms=0.282 filter_ms=26.910 child_exec_ms=7.768 ctid_extract_ms=8.314 ctid_to_rid_ms=1.416 allow_check_ms=1.317 projection_ms=0.540 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=2954313 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=60175 rows_passed=4097 ctid_misses=0 rss_kb_before_eval=27484 rss_kb_after_eval=27484 rss_kb_after_load=32612 rss_kb_after_engine=43564 rss_kb_after_ctid=43564 rss_kb_end=51556 peak_rss_kb_end=51556
